Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422
,Search,,,,,,828.4,829.5,895.5,849.9,905.5,,
,Commerce,,,,,,367.2,383.9,411.5,416.5,439.5,,
,Fintech,,,,,,232.6,241.7,295.2,274.8,295.7,,
,Contents,,,,,,140.4,175.9,218.7,212,300.2,,
,Cloud & Others,,,,,,94.9,96.2,106.9,92.1,104.9,,
,Revenue,,,,,,1663.5,1727.2000000000003,1927.8000000000002,1845.3,2045.8000000000002,,
,OpEx,,,,,,1327.9,1377.5,1576.5,1543.4,1709.6,,
,OpInc,,,,,,335.5999999999999,349.7000000000003,351.3000000000002,301.89999999999986,336.2000000000003,,
,NetInc,,,,,,540.6,322.7,299.8,151.4,158.5,,
