Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,,,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0
,Revenue,,,,,,,401.9,603.4,531.5,596.2,645.6,,,,,,,,,,,,2283.967,2176.432,,,
,COGS,,,,,,,,,,,,,,,,,,,,,,,1251.27,1124.563,,,
,Gross Profit,,,,,,,,,,,,,,,,,,,,,,,1032.6970000000001,1051.8689999999997,,,
,SG&A,,,,,,,,,,,,,,,,,,,,,,,385.499,400.388,,,
,Operating Income,,,,,,,,,,,,,,,,,,,,,,,647.1980000000001,651.4809999999998,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30.929999999999996,,,
,,,,,,,,,,,,,,,,,,,,,,,,,682.4109999999997,,,
,,,,,,,,,,,,,,,,,,,,,,,,,131.389,,,
,,,,,,,,,,,,,,,,,,,,,,,,,551.0219999999997,,,
