Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,MOA,Indication,,,,,Price HKD,10.7,
,Loqtorzi/Tuoyi (toripalimab),PD-1,Oncology,,,,,Price CNY,,
,,,,,,,,Shares,985.689871,Q423
,ongericimab,PCSK9,,,,,,MC HKD,10546.8816197,
,JS401,ANGPTL3,,,,,,Cash,4668.678,Q423
,JS010,CGRP,,,,,,Debt,1735.185,Q423
,tifcemalimab,BTLA,,,,,,EV,7613.388619699999,
,JS005,IL-17A,,,,,,,,
,JS203,CD20/CD3,,,,,,,,
,JS107,Anti-Claudin 18.2-MMAE,,,,,,,,
,JS207,PD-1/VEGF,,,,,,,,
