Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Brand,Indication,Economics,Phase,,,,,,,Price KRW,980000.0,
,"Byooviz (ranibizumab, fka SB11)",,,,,,,,,,Shares,71.174,Q124
,trastuzumab (fka SB3),,,,,,,,,,MC KRW,69750.52,
,etanercept (fka SB4),,,,,,,,,,Cash KRW,2126.9159999999997,Q124
,infliximab (fka SB2),,,,,,,,,,Debt KRW,1497.024172,Q124
,bevacizumab (fka SB8),,,,,,,,,,EV KRW,69120.62817200001,
,adalimumab (fka SB5),,,,,,,,,,,,
,,,,,,,,,,,,,
,SB15 (aflibercept),,,,,,,,,,,,
,SB17 (ustekinumab),,,,,,,,,,,,
,SB12 (eculizumab),,,,,,,,,,,,
,SB16 (denosumab),Osteoporosis,,,,,,,,,,,
