Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,RMB 000s,1H19,2H19,1H20,2H20,1H21,2H21,1H22,2H22,,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Backlog,,,,,12465,,18467,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,4406.754,,7206.44,,,,,2534.453,3983.687,5612.384,10290.5,15268.66,,,,,,,,,,,,,
,COGS,,,,,2109.921,,3793.233,,,,,,,,,8544.646,,,,,,,,,,,,,
,Gross Profit,,,,,2296.833,,3413.2069999999994,,,,,1017.755,1658.829,2532.966,4828.897,6724.014,,,,,,,,,,,,,
,S&M,,,,,60.356,,67.103,,,,,,,,,,,,,,,,,,,,,,
,Admin,,,,,347.64,,520.112,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,115.375,,271.128,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,523.371,,858.3429999999998,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,1773.462,,2554.8639999999996,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,,,-20.874,,-22.661,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,1752.588,,2532.2029999999995,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,308.91,,308.91,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,1443.6779999999999,,2223.2929999999997,,,,,751.684,1204.917,1721.99,3316.388,4925.313,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,0.6353170610385785,,,,,,0.5718133261891225,0.40884160828900473,0.8335345550126292,0.4837626937466595,,,,,,,,,,,,,
,Gross Margin,,,,,0.5212074465695158,,0.4736328894710841,,,,,0.4015679122871878,0.4164054555490931,0.45131730116827357,0.4692577620135076,0.4403800988429895,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,798.005,,1457.918,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Projects,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,
,Late-Phase,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,
,Ongoing CMO,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
