Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,Indication,MOA,,,,,Price HKD,19.74,
,Hengmu (tenofovir amibufenamide),HIV,,,,,,Shares,5933.35007,Q423
,Ameile (aumolertinib),,EGFR,,,,,MC HKD,117124.3303818,
,Ameining (agomelatine),,,,,,,Cash RMB,25541.706,Q423
,Oulanning (olanzapine),,,,,,,Debt RMB,4222.9400000000005,Q423
,Ailanning (paliperidone),,,,,,,EV HKD,95805.56438180001,
,,,,,,,,,,
,HS-20093,,B7-H3 ADC,,,,,,,
,HS-20105,,,,,,,,,
,HS-10518,,,,,,,,,
,HS-10516,,,,,,,,,
,HS-20117,,,,,,,,,
,HS-10506,,,,,,,,,
,HS-10390,FSGS,ERA,,,,,,,
