Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,2019.0,2020.0,2021.0,2022.0,2023.0
,Revenue,8682746.0,8690234.0,9935141.0,9382410.0,10103806.0
,COGS,729540.0,801561.0,870042.0,867010.0,1030863.0
,Gross Profit,7953206.0,7888673.0,9065099.0,8515400.0,9072943.0
,S&M,3266380.0,3103018.0,3427818.0,3550230.0,3531163.0
,G&A,777692.0,758641.0,943423.0,597460.0,709844.0
,R&D,1120681.0,1252246.0,1797012.0,1693314.0,2097046.0
,Operating Expenses,5164753.0,5113905.0,6168253.0,5841004.0,6338053.0
,Operating Income,2788453.0,2774768.0,2896846.0,2674396.0,2734890.0
,Taxes,444183.0,529392.0,587180.0,364681.0,488652.0
,Net Income,2344270.0,2245376.0,2309666.0,2309715.0,2246238.0
,,,,,,
,,,,,,
,,,,,,
,Revenue y/y,,0.0008623999826782303,0.14325356486373098,-0.05563393614645229,0.07688813428532759
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Employees,,,,,9123.0
