1. Revenue by Region,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Table of Contents
■ Year To Date,,,,,,,
,Reported *1,,,,,Underlying *1,
(Bn JPY),FY20Q4 YTD,FY21Q4 YTD,YOY,,,YOY,
 Total revenue,3197.8,3569,371.2,0.11599999999999999,,0.07400000000000001,
Japan *2,559.7,659,99.2,0.177,,0.081,
% of revenue,0.17500000000000002,0.185,1,,,,
United States,1567.9,1714.4,146.5,0.09300000000000001,,0.035,
% of revenue,0.49,0.48,-1,,,,
Europe and Canada,666.2,739.2,73,0.11,,0.125,
% of revenue,0.20800000000000002,0.207,-0.1,,,,
Growth and Emerging Markets *3,404,456.4,52.5,0.13,,0.14800000000000002,
% of revenue,0.126,0.128,0.2,,,,
Asia (excluding Japan),156.2,197,40.7,0.261,,0.249,
% of revenue,0.049,0.055,0.6,,,,
Latin America,121.6,128.5,6.8,0.055999999999999994,,0.145,
% of revenue,0.038,0.036000000000000004,-0.2,,,,
Russia/CIS,57.6,62.1,4.5,0.078,,0.049,
% of revenue,0.018000000000000002,0.017,-0.1,,,,
Other *4,68.5,68.9,0.4,0.006,,0.023,
% of revenue,0.021,0.019,-0.2,,,,
,,,,,,,
Of which royalty / service income *2,92.4,273.3,180.8,1.956,,,
*1 Revenue amount is classified into countries or regions based on the customer location.,,,,,,,
*2 The 133.0 billion JPY selling price of the sale of diabetes portfolio in Japan is included in FY21Q4YTD.,,,,,,,
"*3 GEM: Growth and Emerging Markets, which include Asia (excluding Japan), Latin America, Russia/CIS, Middle East, Oceania and Africa.",,,,,,,
"*4 Other region includes Middle East, Oceania and Africa.",,,,,,,
