2. Product Sales Analysis (vs PY Reported Actual) (continued)                     Sales amount includes royalty income and service income,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Table of Contents
,■ Q3,,,,,,,,,,,,,,
,,Reported,,,,,,,,,,,,,
,,FY20 Q3,FY21 Q3,YOY,US,YOY,,,,,,,Ex-US,YOY,
,(Bn JPY),,,,,,Japan,YOY,EUCAN,YOY,GEM*5,YOY,,,
GI,,209,236.6,0.132,132.8,0.09300000000000001,31.2,0.17800000000000002,51,0.223,16.3,0.05,5.3,0.41000000000000003,
,ENTYVIO,112.3,139.5,0.242,94.7,0.244,3.1,0.24600000000000002,35.6,0.228,6,0.28,,,
,TAKECAB-F *1,24.2,29.3,0.21,0,-,27.3,0.15,0,-,1.9,3.677,,,
,GATTEX/REVESTIVE,16.9,19.8,0.17,15.8,0.106,0.6,-,2.9,0.24800000000000003,0.5,0.53,,,
,DEXILANT,15.1,14.4,-0.040999999999999995,8.5,-0.107,0,-,2.9,0.42200000000000004,3.1,-0.128,,,
,PANTOLOC/CONTROLOC*2,10.9,10.2,-0.065,0.6,0.114,0,-,6.9,0.18,2.7,-0.40700000000000003,,,
,LIALDA/MEZAVANT *3,7.1,7.3,0.031000000000000003,2,-0.40299999999999997,,,,,,,5.3,0.41000000000000003,
,PENTASA,6.2,5.7,-0.069,5.7,-0.069,,,,,,,,,
,AMITIZA,6.4,2,-0.6920000000000001,1.8,-0.708,,,0,-,0.1,0.226,,,
,RESOLOR/MOTEGRITY,3.6,3.7,0.045,3,0.13699999999999998,0,-,0.7,-0.275,0,-1,,,
,ALOFISEL,0.3,0.6,0.9490000000000001,0,-,0,-,0.5,1.213,0.1,0.055999999999999994,,,
,Others,6.1,4.1,-0.32,0.6,-0.77,0.2,-0.313,1.5,0.166,1.9,-0.021,,,
Rare Diseases,,151.3,162.8,0.076,71.2,0.109,9,0.24,39.3,0.145,29.7,-0.061,13.6,-0.02,
Rare Metabolic,,42.2,49.2,0.166,9.8,0.15,1.1,2.6460000000000004,12.2,0.096,12.5,0.495,13.6,-0.02,
,ELAPRASE,17.2,22.9,0.33,5.2,0.163,0.7,7.746,6.9,0.086,10.1,0.609,,,
,REPLAGAL *3,13.9,13.6,-0.02,0,-,,,,,,,13.6,-0.02,
