3. Product Sales Analysis (Reported & Underlying Growth),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Table of Contents
,,FY20 Reported,,,,FY21 Reported & Underlying Growth,,,,,,,,,,,,,,,
,,,,,,YOY,,,YOY,,,,YOY,,,,YOY,,,,
,(Bn JPY),Q1,Q2,Q3,Q4,Q1,Reported,Underlying,Q2,Reported,Underlying,YTD Underlying,Q3,Reported,Underlying,YTD Underlying,Q4,Reported,Underlying,YTD Underlying,
GI,,186.9,192.9,209,189,210.5,0.126,0.079,218.6,0.133,0.087,0.083,236.6,0.132,0.062000000000000006,0.076,210,0.111,0.042,0.068,
,ENTYVIO,101.2,105.7,112.3,110,125.4,0.239,0.182,130.5,0.23399999999999999,0.18100000000000002,0.18100000000000002,139.5,0.242,0.155,0.172,126.4,0.149,0.067,0.145,
,TAKECAB-F *1,20.2,19.7,24.2,20.7,24.3,0.201,0.195,24.8,0.259,0.252,0.223,29.3,0.21,0.20199999999999999,0.215,24,0.161,0.145,0.198,
,GATTEX/REVESTIVE,17.5,15.7,16.9,14.4,18.1,0.037000000000000005,0.003,18.7,0.188,0.141,0.069,19.8,0.17,0.09,0.076,19.1,0.326,0.228,0.11,
,DEXILANT,13.6,14.8,15.1,12.1,10.8,-0.207,-0.24600000000000002,14.9,0.008,-0.048,-0.14300000000000002,14.4,-0.040999999999999995,-0.114,-0.133,10.6,-0.12300000000000001,-0.193,-0.146,
,PANTOLOC/CONTROLOC*2,9.2,12.3,10.9,10.7,10.4,0.138,0.045,9.4,-0.23399999999999999,-0.282,-0.141,10.2,-0.065,-0.12300000000000001,-0.135,10.2,-0.049,-0.064,-0.11800000000000001,
,LIALDA/MEZAVANT,5.5,6.1,7.1,6.8,6.4,0.162,0.07,5.3,-0.131,-0.185,-0.063,7.3,0.031000000000000003,-0.053,-0.059000000000000004,7.4,0.10099999999999999,0.03,-0.036000000000000004,
,PENTASA,6.2,5.5,6.2,5.3,4.8,-0.21600000000000003,-0.23199999999999998,5.2,-0.055999999999999994,-0.09,-0.16399999999999998,5.7,-0.069,-0.136,-0.154,4.4,-0.166,-0.24300000000000002,-0.17500000000000002,
,AMITIZA,6.3,6.2,6.4,2.4,2.1,-0.658,-0.665,1.8,-0.716,-0.7270000000000001,-0.696,2,-0.6920000000000001,-0.715,-0.703,0.6,-0.755,-0.78,-0.7120000000000001,
,RESOLOR/MOTEGRITY,2.7,2.2,3.6,2.7,3.2,0.16899999999999998,0.114,3.2,0.433,0.37,0.228,3.7,0.045,-0.03,0.12,2.9,0.062000000000000006,-0.013999999999999999,0.087,
,ALOFISEL,0,0.3,0.3,0.2,0.4,35.56,32.22,0.4,0.522,0.428,1.6680000000000001,0.6,0.9490000000000001,0.809,1.233,0.5,1.24,1.173,1.217,
