5. Exchange Rate,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Table of Contents
,,,,,,,,,,
,,,(yen),,,,,,(100 million yen),
,Average Exchange Rates vs. JPY,,,,Impact of depreciation of yen from April 2022 to March 2023 ,,,,,
CURRENCY,FY20Q4 YTD (Apr-Mar),FY21Q4 YTD (Apr-Mar),FY22 Assumption (Apr-Mar),,,"Revenue
(IFRS)","Core Operating Profit
(non-IFRS)","Operating Profit
(IFRS)","Net Profit
(IFRS)",
USD,106,112,119,,1% depreciation,192.2,75.1,34.7,29.8,
,,,,,1 yen depreciation,161.7,63.2,29.2,25.1,
EUR,123,131,133,,1% depreciation,49.6,-21.8,-31.6,-33.5,
,,,,,1 yen depreciation,37.4,-16.5,-23.8,-25.3,
RUB,1.4,1.5,1.3,,1% depreciation,4,2.5,2.1,2.1,
CNY,15.5,17.4,18.8,,,15.6,8.6,8.6,8.6,
BRL,19.6,20.9,24,,,8.8,5.6,5.5,5.5,
