Unnamed: 0,Reported to Core/Underlying Core Reconciliation - FY2021 & FY2020 ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,FY2021 Full Year Reconciliation,,,,,,,,,,,,,,,(Bn yen)
,,,Reported,"YoY
%",Reported to Core Adjustments,,,,,,,Core,"YoY
%",Core to Underlying Core Adj.,,"Underlying
Growth"
,,,,,"Amortization of
intangible
assets","Impairment of
intangible
assets","Other
operating income/
expenses",Japan diabetes portfolio divestiture gain,"Irish Tax
Assessment
*1",TEVA JV related accounting adjustments,Others,,,FX,Divestitures,
,,,,,,,,,,,,,,,,
,Revenue,,3569,0.11599999999999999,0,0,0,-133,0,-0.8,-14.6,3420.5,0.07,-166.9,-6.9,0.07400000000000001
,Cost of sales,,-1106.8,-0.113,,,,0.6,,,45.6,-1060.6,-0.17,52,3.6,
,Gross profit,,2462.2,0.11699999999999999,0,0,0,-132.4,0,-0.8,31,2359.9,0.03,-114.9,-3.2,
,SG&A,,-886.4,-0.012,,,,1,,,5.1,-880.2,-0.009000000000000001,46.1,0,
,R&D,,-526.1,-0.154,,,,,,,1.6,-524.5,-0.16399999999999998,25.6,0,
,Amortization and impairment losses on intangible assets,,-472.9,-0.121,418.8,54.1,,,,,,0,0,,,
,,Amortization,-418.8,-0.033,418.8,,,,,,,0,0,,,
,,Impairment,-54.1,-2.261,,54.1,,,,,,0,0,,,
,Other operating income,,43.1,-0.8640000000000001,,,-41.7,,,-1.4,,0,0,,,
,Other operating expenses,,-159.1,0.386,,,159.1,,,,,0,0,,,
,Operating profit,,460.8,-0.095,418.8,54.1,117.4,-131.4,0,-2.2,37.7,955.2,-0.013000000000000001,-43.2,-3.2,0.054000000000000006
,,Margin,0.129,-3,,,,,,,,0.27899999999999997,-2.3,,,0.28
,Financial income/expenses,,-142.9,0.001,,,,,,,21,-121.9,0.035,13.5,,
,Equity income/loss,,-15.4,-,,,,,,7.3,11.8,3.7,0.069,0.3,,
,Profit before tax,,302.6,-0.174,418.8,54.1,117.4,-131.4,0,5.1,70.5,837,-0.01,-29.4,-3.2,
,Tax expense,,-72.4,-,-89.7,-15.2,-26.1,40.2,65.4,-1.6,-73.8,-173.2,0.086,6.1,1,
,Non-controlling interests,,0.1,0.355,,,,,,,,0.1,0.355,0,0,
,Net Profit,,230.1,-0.38799999999999996,329.1,38.9,91.2,-91.2,65.4,3.5,-3.2,663.7,0.013000000000000001,-23.3,-2.2,
,EPS (yen),,147,-0.389,,,,,,,,425,0.012,-15,-1,0.094
,Number of shares (million),,1564,,,,,,,,,1564,,,,1563
,*1,"A tax charge of 65.4 billion JPY for tax and interest, net of 0.5 billion JPY of associated tax benefit, arising from tax assessment involving Irish taxation of the break fee Shire received from AbbVie in connection with the terminated offer to acquire Shire made by AbbVie in 2014.",,,,,,,,,,,,,,
,*2,Underlying Core Operating Profit Margin.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,FY2020 Full Year Reconciliation,,,,,,,,,,,,,,,
,,,Reported,,Reported to Core Adjustments,,,,,,,Core,,Core to Underlying Core Adj.,,"Underlying
Growth"
,,,,,"Amortization of
intangible
assets","Impairment of
intangible
assets","Other
operating income/
expense","TEVA JV
related
accounting
adjustments","TCHC
Divestiture
*1",Others,,,,FX,Divestitures,
,,,,,,,,,,,,,,,,
,Revenue,,3197.8,,0,0,0,0,0,,0,3197.8,,-1.4,-174.4,0.022000000000000002
,Cost of sales,,-994.3,,,,,,,,87.4,-906.9,,-2.6,52.7,
,Gross profit,,2203.5,,0,0,0,0,0,,87.4,2290.9,,-4,-121.7,
,SG&A,,-875.7,,,,1.9,,,,1.2,-872.6,,2.2,16.7,
,R&D,,-455.8,,,,-0.3,,,,5.8,-450.4,,0,0.8,
,Amortization and impairment losses on intangible assets,,-421.9,,405.3,16.6,,,,,,0,,,,
,,Amortization,-405.3,,405.3,,,,,,,0,,,,
,,Impairment,-16.6,,,16.6,,,,,,0,,,,
,Other operating income,,318,,,,-116.9,-1.5,-139.5,,-60.2,0,,,,
,Other operating expenses,,-258.9,,,,185.3,,,,73.6,0,,,,
,Operating profit,,509.3,,405.3,16.6,70,-1.5,-139.5,,107.7,967.9,,-1.8,-104.2,0.13
,,Margin,0.159,,,,,,,,,0.303,,,,0.28500000000000003
,Financial income/expenses,,-143.1,,,,,,,,16.8,-126.3,,6,0,
,Equity income/loss,,0.1,,,,,16.6,,,-13.1,3.5,,-0.2,0,
,Profit before tax,,366.2,,405.3,16.6,70,15.1,-139.5,,111.4,845.1,,4,-104.2,
,Tax expense,,9.9,,-90.5,-3.8,-9.5,-4.6,,,-91,-189.4,,-0.9,29.1,
,Non-controlling interests,,0.2,,,,,,,,,0.2,,0,0,
,Net Profit,,376,,314.8,12.8,60.5,10.5,-139.5,,20.4,655.5,,3.1,-75.1,
,EPS (yen),,241,,,,,,,,,420,,3,-48,0.24600000000000002
,Number of shares (million),,1562,,,,,,,,,1562,,,,1558
,*1,"On March 31, 2021, Takeda completed the sale of Takeda Consumer Healthcare Company Limited (“TCHC”), a wholly-owned subsidiary of Takeda primarily focused on the consumer healthcare market in Japan, to The Blackstone Group Inc..",,,,,,,,,,,,,,
,*2,Underlying Core Operating Profit Margin.,,,,,,,,,,,,,,
