Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,Price JPY,281.0
,,,,,,,,,Shares,47263.966428
,,,,,,,,,MC JPY,13281174.566268
,,,,,,,,,Cash JPY,4118585.0
,,,,,,,,,Debt JPY,6215808.0
,,,,,,,,,EV JPY,15378397.566268
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,SoftBank Corp. (the “Company”) is a corporation (kabushiki kaisha) under the Companies Act of Japan and is domiciled in Japan.,,,,,,,,,
,These condensed interim consolidated financial statements are comprised of the Company and its subsidiaries (the “Group”).,,,,,,,,,
,The parent of the Company is SoftBank Group Japan Corporation. The ultimate parent company of the Company is SoftBank Group Corp. ,,,,,,,,,
,"The registered address of its head office is 7-1 Kaigan 1-chome, Minato-ku, Tokyo, Japan.",,,,,,,,,
