Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2014.0,,
,Passenger,,,,,,12978,,,,13202,,,,,,,,,,,,,,,,,,
,Cargo,,,,,,197,,,,195,,,,,,,,,,,,,,,,,,
,Other,,,,,,880,,,,937,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,14055,,,,14334,,,,,,,,,,,,,,,,,,
,Aircraft,,,,,,2723,,,,3061,,,,,,,,,,,,,,,,,,
,Salaries,,,,,,3635,,,,3953,,,,,,,,,,,,,,,,,,
,Regional,,,,,,1153,,,,1268,,,,,,,,,,,,,,,,,,
,Maintenance,,,,,,808,,,,950,,,,,,,,,,,,,,,,,,
,Landing Fees,,,,,,762,,,,834,,,,,,,,,,,,,,,,,,
,Aircraft Rent,,,,,,344,,,,314,,,,,,,,,,,,,,,,,,
,Salaries,,,,,,489,,,,456,,,,,,,,,,,,,,,,,,
,D&A,,,,,,483,,,,474,,,,,,,,,,,,,,,,,,
,Other,,,,,,1495,,,,1640,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,,11892,0,0,0,12950,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,,2163,0,0,0,1384,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,,-400,,,,-356,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,,1763,0,0,0,1028,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,425,,,,311,,,,,,,,,,,,,,,,,,
,Net Income,,,,,,1338,0,0,0,717,,,,,,,,,,,,,,,,,,
,EPS,,,,,,1.8600254398098268,,,,0.9954158117012031,,,,,,,,,,,,,,,,,,
,Shares,,,,,,719.345,,,,720.302,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Debt,,,,,,,,,,-22435,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,9321,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,2067,,,,,,,,,,,,,,,,,,
,Inventory,,,,,,,,,,2575,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,832,,,,,,,,,,,,,,,,,,
,Flight Equipment,,,,,,,,,,42752,,,,,,,,,,,,,,,,,,
,Ground Equipment,,,,,,,,,,10198,,,,,,,,,,,,,,,,,,
,Purchase Deposits,,,,,,,,,,1052,,,,,,,,,,,,,,,,,,
,Depreciation,,,,,,,,,,-22958,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,7873,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,6138,,,,,,,,,,,,,,,,,,
,DTA,,,,,,,,,,2668,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,1607,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,64125,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,31756,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,3016,,,,,,,,,,,,,,,,,,
,Salaries,,,,,,,,,,1767,,,,,,,,,,,,,,,,,,
,Air Traffic Liability,,,,,,,,,,8030,,,,,,,,,,,,,,,,,,
,Loyalty Liability,,,,,,,,,,9650,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,7691,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,4309,,,,,,,,,,,,,,,,,,
,Pension,,,,,,,,,,2652,,,,,,,,,,,,,,,,,,
,L,,,,,,,,,,-4746,,,,,,,,,,,,,,,,,,
,S/E,,,,,,,,,,64125,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,5096,,,,3308,,,,1285.0,675.0,3080.0,6249.0,6524.0,2870.0,3533.0,3815.0,-6543.0,704.0,2173.0,3803.0,,,
,CapEx,,,,,,-1244,,,,-1475,,,,-1888.0,-3114.0,-5311.0,-6151.0,-5731.0,-5881.0,-3745.0,-4268.0,-1958.0,-208.0,-2546.0,-2596.0,,,
,FCF,,,,,,3852,,,,1833,,,,-603.0,-2439.0,-2231.0,98.0,793.0,-3011.0,-212.0,-453.0,-8501.0,496.0,-373.0,1207.0,,,1207.0
