Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95
,,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA GBV,,,,,,,,,,,,,,,,,,,,,,13169.9,25305.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBV,,,,,,,,,,,,,,,,,,13924.8,20975.3,29440.7,37962.6,23896.9,46877.0,64221.490000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA Hotel Rooms,,,,,,,,,,,,,,,,,,,,,,,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA Nights,,,,,,,,,,,,,,,,,,,,,,75.5,114.0,136.79999999999998,164.15999999999997,196.99199999999996,236.39039999999994,283.66847999999993,326.2187519999999,342.52968959999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMEA Nights,,,,,,,,,,,,,,,,,,,,,,67.7,118.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LatAm Nights,,,,,,,,,,,,,,,,,,,,,,22.4,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APAC Nights,,,,,,,,,,,,,,,,,,,,,,27.6,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WW Nights,,,,,,,,,,,,,,,,,,125.7,185.8,250.3,326.9,193.2,300.59999999999997,360.71999999999997,432.864,519.4368,623.3241599999999,747.9889919999998,860.1873407999998,903.1967078399998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARPU,,,,,,,,,,,,,,,,,,,,14.590431482221334,14.699415723462833,17.485502070393377,19.93266799733866,20.530648037258818,21.146567478376582,21.78096450272788,22.434393437809717,23.10742524094401,23.80064799817233,24.514667438117502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GBV/Night,,,,,,,,,,,,,,,,,,,,117.62165401518178,116.1290914652799,123.68995859213253,155.9447771124418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA GBV/Night,,,,,,,,,,,,,,,,,,,,,,174.43576158940397,221.9780701754386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,839.004,1213.678,1645.761,1106.796,841.83,334.774,1342.331,859.264,886.936,1335.96,2237.432,1531.4320000000002,1508.937,2104.107,2884.41,1684.5752000000005,,,,3651.985,4805.239,3378.199,5991.76,8182.0292,9153.58778496,11313.83450221056,13983.899444732251,17284.099713689062,20473.016110864693,22141.56692390017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,,,,,,439.951,502.552,539.91,,595.635,648.3620000000001,691.095,,,,,1473.234,2002.89,1753.943,2002.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,,,,,,446.985,833.408,1697.522,,913.3019999999999,1455.745,2193.3149999999996,,,,,2178.751,2802.3489999999993,1624.256,3988.87,5481.959564000001,6132.9038159232,7580.269116481076,9369.212627970608,11580.346808171673,13716.920794279346,14834.849839013114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PD,,,,,,,,,363.061,349.734,344.41,,362.927,375.05,366.182,,,,,579.193,976.695,2752.872,1425.048,1467.79944,1511.8334232,1557.188425896,1603.90407867288,1652.0212010330663,1701.5818370640584,1752.6292921759803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,,,,,,,,,229.125,315.323,290.856,,344.616,379.875,383.165,,,,,1101.327,1621.519,1175.325,1186.332,1221.9219600000001,1258.5796188000002,1296.337007364,1335.22711758492,1375.2839311124676,1416.5424490458417,1459.0387225172171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
