Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,"Communications, Media & Technology - 10.8B",,,,,,,,,,,,,Price,320.5,
,0.4,"B2C, B2B communications (fixed, mobile, cable)",,,,,,,,,,,,Shares,933.234,Q324
,0.18,High Tech,,,,,,,,,,,,MC,299101.49700000003,
,0.42,Software,,,,,,,,,,,,Cash,8682.0,Q324
,,,,,,,,,,,,,,Debt,5153.0,Q324
,Financial Services - 11.6B,,,,,,,,,,,,,EV,295572.49700000003,
,0.69,Banking & Capital Markets,,,,,,,,,,,,,,
,0.31,Insurance,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Health & Public Service - 13.8B,,,,,,,,,,,,,,,
,0.31,Health,,,,,,,,,,,,,,
,0.69,"Public Service (defense, military)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Products - 19.6B,,,,,,,,,,,,,,,
,0.46,"Consumer Goods, Retail, Travel",,,,,,,,,,,,,,
,0.34,Industrial,,,,,,,,,,,,,,
,0.2,Life Sciences,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Resources - 9.1B,,,,,,,,,,,,,,,
,0.29,Chemicals & Natural Resources,,,,,,,,,,,,,,
,0.25,Energy,,,,,,,,,,,,,,
,0.46,Utilities,,,,,,,,,,,,,,
