Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233
,,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,0,0,0,0.8,0,0.2,0.4,0.5,0.8,0,0,2.2,0,0,-1.3,7.2,-1.5,-1.3,-1.8,11.7,-2.1,-2.2,2.9,12,2.6,3.4,4.7,12,4,4.7,4.2,4.1,3.5,6.6,7.2,12,10.2,7.8,10.3,14,16,17.8,20.7,26.4,29.1,33.9,41.1,50,56.9,60.1,67.3,73.9,81.9,107.2,112.2,117.549,114.8002,,134.224,,,,,,,,,,418.84900000000005,586.3886,762.3051800000001,914.7662160000001,1097.7194592,1262.37737808,1451.7339847919998,1669.4940825107997,1836.4434907618797,2020.0878398380678,2121.0922318299713,2227.14684342147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,0,0,0,0.2,0,0.1,0.1,0.4,0.5,0.5,0.7,0.3,1,0.9,0.9,1,0.9,0.8,1.1,1.5,1.3,1.3,1.7,2,1.6,4.3,11.3,11.9,12.2,9.6,9.2,11.1,9.4,10.5,7.9,11.7,16.8,0,0,44.5,17.8,18.8,20.3,22.9,25.4,26.1,31.4,35.8,40.4,43.4,42.6,42.8,42.8,49.7,49.368,54.216,53.705,,58.598,,,,,,,,,,196.084,246.28321200000005,304.922072,347.61116208,406.156199904,454.45585610879994,508.1068946771999,584.3229288787797,642.7552217666578,707.0307439433236,742.3822811404898,779.5013951975143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,0,0,0,0.6,0,0.1,0.2,0.1,0.3,-0.5,-0.7,1.9,-0.9,-0.9,-2.2,6.2,-2.4,-2.1,-2.9,10.2,-3.3,-3.5,1.2,10,1,-0.9,-6.6,0.1,-8.2,-5,-4.9,-7.1,-5.9,-3.9,-0.7,0.3,-6.6,7.8,10.3,-30.5,-1.7,-1,0.4,3.5,3.7,7.8,9.7,14.2,16.5,16.700000000000003,24.699999999999996,31.10000000000001,39.10000000000001,57.5,62.832,63.333000000000006,61.095200000000006,,75.62599999999999,,,,,,,,,,222.76500000000004,340.10538799999995,457.38310800000005,567.1550539200001,691.5632592960001,807.9215219712,943.6270901147999,1085.17115363202,1193.688268995222,1313.0570958947442,1378.7099506894815,1447.6454482239556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A Expense,0.7,0.7,0.7,0.5,1.1,1.1,1.5,1.1,1.9,1.6,1.5,1.7,1.9,2.4,2.1,2.3,2.4,2.5,3.3,3.1,3,3,3.3,4.7,5.8,6,5.8,7.7,7.2,7.2,7.6,8.3,6.2,6.7,7.7,7.5,8.4,9.6,10.3,10.9,12.3,13.2,13.9,15.8,17.7,15.9,17.8,19,16.3,14.248,15.2,15.535,16.6,16.608,16.608,23.317,24.079,,21.776,,,,,,,,,,73.13300000000001,80.44630000000002,88.49093000000003,97.34002300000004,107.07402530000006,117.78142783000007,129.5595706130001,142.5155276743001,156.76708044173012,172.44378848590313,189.68816733449344,208.6569840679428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D Expense,0.2,0.1,0.1,0.2,0.1,0.2,1.9,1.3,1.5,3.5,1.4,3,4.3,1.8,1.5,1.9,1.4,1.5,2.1,2,2,3.4,1.7,0.6,1.2,1.4,1.8,1.2,1,1,1,0.9,0.9,0.5,0.5,0.5,1.5,1.7,1.7,1,1,1.2,0.8,0.7,0.6,0.9,1,1.1,0.9,1.403,0.6,0.445,0.4,0.56,0.56,0.391,0.826,,1.528,,,,,,,,,,1.911,2.1021,2.31231,2.5435410000000003,2.7978951000000007,3.0776846100000013,3.3854530710000015,3.723998378100002,4.0963982159100025,4.506038037501003,4.956641841251104,5.452306025376214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Center Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333,,0.685,,0.942,0.942,1.277,1.286,,1.272,,,,,,,,,,3.1609999999999996,3.4770999999999996,3.82481,4.207291000000001,4.628020100000001,5.090822110000002,5.599904321000003,6.159894753100004,6.775884228410005,7.4534726512510066,8.198819916376108,9.01870190801372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,0.8999999999999999,0.7999999999999999,0.7999999999999999,0.7,1.2000000000000002,1.3,3.4,2.4000000000000004,3.4,5.1,2.9,4.7,6.199999999999999,4.2,3.6,4.199999999999999,3.8,4,5.4,5.1,5,6.4,5,5.3,7,7.4,7.6,8.9,8.2,8.2,8.6,9.200000000000001,7.1000000000000005,7.2,8.2,8,9.9,11.299999999999999,12,11.9,13.3,14.399999999999999,14.700000000000001,16.5,18.3,16.8,18.8,20.1,17.2,16.983999999999998,15.799999999999999,16.665,17,18.11,18.11,24.985,26.191000000000003,0,24.576,,,,,,,,,,78.20500000000001,86.02550000000002,94.62805000000003,104.09085500000005,114.49994050000006,125.94993455000008,138.5449280050001,152.3994208055001,167.63936288605012,184.40329917465513,202.84362909212066,223.12799200133273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,-0.8999999999999999,-0.7999999999999999,-0.7999999999999999,-0.09999999999999998,-1.2000000000000002,-1.2,-3.1999999999999997,-2.3000000000000003,-3.1,-5.6,-3.5999999999999996,-2.8000000000000003,-7.1,-5.1000000000000005,-5.800000000000001,2.000000000000001,-6.199999999999999,-6.1,-8.3,5.1,-8.3,-9.9,-3.8,4.7,-6,-8.3,-14.2,-8.8,-16.4,-13.2,-13.5,-16.3,-13,-11.1,-8.899999999999999,-7.7,-16.5,-3.499999999999999,-1.6999999999999993,-42.4,-15,-15.399999999999999,-14.3,-13,-14.600000000000001,-9,-9.100000000000001,-5.900000000000002,-0.6999999999999993,-0.28399999999999537,8.899999999999997,14.43500000000001,22.10000000000001,39.39,44.722,38.348000000000006,34.9042,0,51.04999999999999,,,,,,,,,,144.56000000000003,254.07988799999993,362.755058,463.0641989200001,577.063318796,681.9715874212,805.0821621097998,932.7717328265198,1026.0489061091719,1128.653796720089,1175.8663215973609,1224.5174562226227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,-0.3,-0.2,-0.2,-0.8,0,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.4,-0.3,-0.4,-0.4,-1.2,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.8,-2.4,-1.3,-1.3,-1.3,-1.5,0.1,-1.9,-2.4,-2.7,-2.5,-3.1,-3.1,-2.2,-3.2,-3.3,-3.3,-3.5,-10.2,-4.6,-5.6,-6.2,-6,-5.9,-6.1,-31.9,-3.4,-3.4,,-2.281,-1.431,,-1.675,,,,,,,,,,,0.0,9.527995799999998,23.488610317499997,41.73434066390625,64.93925289365272,92.9484094054597,126.62455583728193,166.3519166621745,211.06694751609996,261.30647542495706,315.200455313294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
