Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,vLLM,PagedAttention,Efficient management of attention key and value memory,,,,,,,
,,continuous batching,,,,,,,,
,,tensor parallelism,,,,,,,,
,DeepSpeed,,,,,,,,,
,,"model parallelism, inference-customized kernels, MoQ quantization",,,,,,,,
,,,,,,,,,,
,TensorRT,,,,,,,,,
,,,,,,,,,,
,PowerInfer,https://github.com/SJTU-IPADS/PowerInfer,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Accelerate,https://huggingface.co/docs/accelerate/index,,,,,,,,
,Amphista,,,,,,,,,
,,Amphista: Accelerate LLM Inference with Bi-Directional Multiple Drafting Heads in a Non-Autoregressive Style. ArXiv 6/19/24,,,,,,,,
,,https://arxiv.org/pdf/2406.13170,,,,,,,,
,,,,,,,,,,
,Mamba,,,,,,,,,
,,Effectively Compress KV Heads for LLM. Yu et al. ArXiv 6/11/24,,,,,,,,
,,https://arxiv.org/abs/2406.07056,,,,,,,,
,,,,,,,,,,
,Medusa,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Speculative Decoding,,,,,,,,,
,,"SPEED: Speculative Pipelined Execution for Efficient Decoding. Hooper et al., UC Berkeley. arXiv 1/3/24, NeurIPS 2023",,,,,,,,
,,Link,https://arxiv.org/pdf/2310.12072,,,,,,,
,,Coleman Hooper,,,,,,,,
,,Sehoon Kim,,,,,,,,
,,Hiva Mohammadzadeh,,,,,,,,
,,Hasan Genc,,,,,,,,
,,Kurt Keutzer,,,,,,,,
,,Amir Gholami,,,,,,,,
,,Yakun Sophia Shao,,,,,,,,
,,,,,,,,,,
,Pruning,,,,,,,,,
,,Constraint-aware and Ranking-distilled Token Pruning for Efficient Transformer Inference. arXiv 6/26/23,,,,,,,,
,,Authors,Li et al. (Microsoft),,,,,,,
,,Citations,,,,,,,,
,,Link,https://arxiv.org/pdf/2306.14393,,,,,,,
,,References,"2018-1, 2019-4.5",,,,,,,
,,,,,,,,,,
,,"Block Pruning for Faster Transformers, arXiv 9/10/21",,,,,https://arxiv.org/pdf/2306.14393,,,
,,Authors,"Lagunas, et al. (HuggingFace)",,,,,,,https://github.com/OpenMachine-ai/transformer-tricks
,,Citations,182,,,,,,,
,,Link,https://arxiv.org/abs/2109.04838,,,,,,,
,,,https://github.com/huggingface/nn_pruning,,,,,,,
,,,,,,,,,,
,Quantization,,,,,,,,,
,,Q-BERT: Hessian Based Ultra Low Precision Quantization of BERT. arXiv 9/25/2019,,,,,,,,https://github.com/OpenGVLab/OmniQuant
,,Authors,Shen et al. (UC Berkeley),,,,,,,
,,Citations,538,,,,,,,
,,Link,https://arxiv.org/abs/1909.05840,,,,,,,
,,,,,,,,,,
,,Quantization of Deep Neural Networks for Accurate Edge Computing. arXiv 4/25/21,,,,,,,,
,,Authors,Chen et al. (Guangdong),,,,,,,
,,Citations,23,,,,,,,
,,Link,https://arxiv.org/abs/2104.12046,,,,,,,
,,,,,,,,,,
,,"I-BERT: Integer-only BERT Quantization, arXiv 6/8/21",,,,,,,,
,,Authors,Kim et al. (UC Berkeley),,,,,,,
,,Citations,302,,,,,,,
,,Link,https://arxiv.org/pdf/2101.01321,,,,,,,
,,,,,,,,,,
,Distillation,,,,,,,,,
,,TinyBERT: Distilling BERT for Natural Language Understanding,,,,,,,,
,,Authors,Jiao et al. (Huawei),,,,,,,
,,Citations,1767,,,,,,,
,,Link,https://arxiv.org/abs/1909.10351,,,,,,,
,,,,,,,,,,
,,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",,,,,,,,
,,Authors,Sanh et al. (HuggingFace),,,,,,,
,,Citations,6706,,,,,,,
,,Link,https://arxiv.org/abs/1910.01108,,,,,,,
,,,,,,,,,,
,Parallelism,,,,,,,,,
,,tensor parallelism,,,,,,,,
,,model parallelism,,,,,,,,
,,,,,,,,,,
,,DeepSpeed,,,,,,,,
,,Kraken,,,,,,,,
,,,,,,,,,,
,,https://arxiv.org/pdf/2001.08950,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,https://arxiv.org/pdf/2406.16747,,,,,,,,,
