Main,Unnamed: 1,https://arxiv.org/pdf/2309.09493,Unnamed: 3
,,https://arxiv.org/pdf/2408.06854,
,,https://arxiv.org/pdf/2408.06942,
,,https://arxiv.org/pdf/2408.06906,
,,https://arxiv.org/pdf/2408.07020,
,,https://arxiv.org/pdf/2408.06954,
,,https://arxiv.org/pdf/2408.06740,
,,PRESENT: Zero-Shot Text-to-Prosody Control,
,,https://arxiv.org/pdf/2408.06827,
,,,
,,,
,,,
,2024-02-20 00:00:00,Towards audio language modeling - an overview,
,,Authors,Wu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2402.13236.pdf
,,,
,2024-01-31 00:00:00,EVA-GAN: Enhanced Various Audio Generation via Scalable GANs,
,,Authors,Nvidia
,,Citations,
,,Link,https://arxiv.org/pdf/2402.00892.pdf
,,Link2,https://double-blind-eva-gan.cc/
,,,
,2024-01-30 00:00:00,MusicGen: Simple and Controllable Music Generation,
,,Authors,Meta: Copet et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2306.05284.pdf
,,,
,2024-01-23 00:00:00,SpeechTokenizer: Unified Speech Tokenizer for Speech Language Models,
,,Authors,Zhang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2308.16692.pdf
,,,
,2024-01-19 00:00:00,Pengi: An Audio Language Model for Audio Tasks,
,,Authors,Microsoft: Deshmukh et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2305.11834.pdf
,,,
,2024-01-05 00:00:00,M2UGen: Multi-modal Music Understanding and Generation with the Power of LLMs,
,,Authors,Hussain et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2311.11255.pdf
,,,
,2024-01-05 00:00:00,Pheme: Efficient and Conversational Speech Generation,
,,Authors,"Poly AI: Paweł Budzianowski, Taras Sereda, Tomasz Cichy, Ivan Vulic"
,,Citations,
,,Link,https://arxiv.org/pdf/2401.02839.pdf
,,,
,2024-01-05 00:00:00,Towards ASR Robust Spoken Language Understanding Through In-Context Learning with Word Confusion Networks,
,,Authors,"Amazon: Kevin Everson et al, Amazon."
,,Citations,
,,Link,https://arxiv.org/abs/2401.02921
,,,
,2023-12-11 00:00:00,UniAudio: An Audio Foundation Model toward Universal Audio Generation,
,,Authors,(CMU/Microsoft) Yang et al.
,,Citations,
,,Link,
,,,
,2023-11-26 00:00:00,WavJourney: Compositional Audio Creation with LLMs,
,,Authors,Liu et al.
,,Citations,
,,Link,
,,,
,2024-11-14 00:00:00,Qwen-Audio: Advancing Universal Audio Understanding via Unified Large-Scale Audio-Language Models,
,,Authors,Alibaba: Chu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2311.07919v1.pdf
,,,
,2023-10-23 00:00:00,Mousai: Efficient Text-to-Music Diffusion Models,
,,Authors,ETH Zurich: Schneider et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2301.11757.pdf
,,,
,2023-10-12 00:00:00,PromptTTS 2: Describing and Generating Voices with Text Prompt,
,,Authors,Microsoft: Leng et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2309.02285.pdf
,,,
,2023-09-21 00:00:00,ERNIE-Music: Text-to-Waveform Music Generation with Diffusion Models,
,,Authors,Baidu: Zhu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2302.04456.pdf
,,,
,2023-09-09 00:00:00,AudioLDM: Text-to-Audio Generation with Latent Diffusion Models,
,,Authors,Liu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2301.12503.pdf
,,,
,2023-08-14 00:00:00,SpeechX: Neural Codec Language Model as a Versatile Speech Transformer,
,,Authors,Microsoft: Wang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2308.06873.pdf
,,,
,2023-07-31 00:00:00,VITS2: Improving Quality and Efficiency of Single-Stage Text-to-Speech with Adversarial Learning and Architecture Design,
,,Authors,"SK Telecom: Jungil Kong, Jihoon Park, Beomjeong Kim, Jeongmin Kim, Dohee Kong, Sangjin Kim"
,,Citations,
,,Link,https://arxiv.org/abs/2307.16430
,,,
,2023-07-26 00:00:00,AudioLM: a Language Modeling Approach to Audio Generation,
,,Authors,Google: Zalan Borsos et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2209.03143.pdf
,,,
,2023-07-08 00:00:00,Physics-Driven Diffusion Models for Impact Sound Synthesis from Videos,
,,Authors,Su et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2303.16897.pdf
,,,
,2023-06-25 00:00:00,InstructTTS: Modelling Expressive TTS in Discrete Latent Space with Natural Language Style Prompt,
,,Authors,Yang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2301.13662.pdf
,,,
,2023-06-22 00:00:00,AudioPaLM: A Large Language Model That Can Speak and Listen,
,,Authors,Google: Rubenstein et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2306.12925.pdf
,,,
,2023-06-15 00:00:00,"Efficient Self-supervised Learning with Contextualized Target Representations for Vision, Speech and Language",
,,Authors,Meta: Baevski et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2212.07525.pdf
,,,
,2023-05-31 00:00:00,MT4SSL: Boosting Self-Supervised Speech Representation Learning by Integrating Multiple Targets,
,,Authors,Ma et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2211.07321.pdf
,,,
,2023-05-30 00:00:00,NaturalSpeech 2: Latent Diffusion Models are Natural and Zero-Shot Speech and Singing Synthesizers,
,,Authors,Microsoft: Shen et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2304.09116.pdf
,,,
,2023-05-29 00:00:00,Make-An-Audio 2: Temporal-Enhanced Text-to-Audio Generation,
,,Authors,Huang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2305.18474.pdf
,,,
,2023-05-25 00:00:00,Efficient Neural Music Generation,
,,Authors,ByteDance: Lam et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2305.15719.pdf
,,,
,2023-05-23 00:00:00,Tortoise: Better speech synthesis through scaling,
,,Authors,James Betker
,,Citations,
,,Link,https://arxiv.org/abs/2305.07243
,,,
,2023-05-16 00:00:00,SoundStorm: Efficient Parallel Audio Generation,
,,Authors,"Google: Zalan Borsos, et al."
,,Citations,
,,Link,https://arxiv.org/pdf/2305.09636.pdf
,,,
,2023-05-03 00:00:00,Diverse and Vivid Sound Generation from Text Descriptions,
,,Authors,Li et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2305.01980.pdf
,,,
,2023-04-25 00:00:00,"AudioGPT: Understanding and Generating Speech, Mussic, Sound, and Talking Head",
,,Authors,Huang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2304.12995.pdf
,,,
,2023-04-24 00:00:00,TANGO: Text-to-Audio Generation using Instruction-Tuned LLM and Latent Diffusion Model,
,,Authors,Ghosal et al.
,,Citations,
,,Link,https://arxiv.org/abs/2304.13731
,,,
,2023-04-05 00:00:00,AUDIT: Audio Editing by Following Instructions with Latent Diffusion Models,
,,Authors,Microsoft: Wang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2304.00830.pdf
,,,
,2023-03-08 00:00:00,FoundationTTS: Text-to-Speech for ASR Customization with Generative Language Model,
