Main,Unnamed: 1,Unnamed: 2
,Brand Name,ALKS33
,Generic Name,
,Indication,Addiction and other CNS disorders
,Mechanism,"""Opioid modulator"". Likely antagonist as naltrexone is a mu-antagonist."
,Administration,Oral
,Origin,"identified from a family of compounds in-licensed from Rensselaer Polytechnic Institute. Ron Kulda, Tech Transfer Office at RPI. Mark Wentland and Jean Bidlack were the scientists at RPI."
,Economics,September 2006 licensed a family of compounds from RPI. Will owe royalties and milestones.
,Clinical Trials,
,,Phase II - scheduled to begin by YE09
,,
,,
,,Phase I ALKS33-003 n=30
,,
,,Phase I ALKS33-004 n=24
,,
,,Phase I n=16 SAD - initiated December 2008
,,
,,
,,
,,Preclinical vs naltrexone
,,35-50% reduction in drinking vs 10% for naltrexone
