Main,Unnamed: 1,2005-06-01 00:00:00,2005-09-01 00:00:00,2005-12-31 00:00:00,2006-03-01 00:00:00,2006-06-01 00:00:00,2006-09-01 00:00:00,2006-12-31 00:00:00,2007-03-01 00:00:00,2007-06-01 00:00:00,2007-09-01 00:00:00,2007-12-01 00:00:00,2008-03-01 00:00:00,2008-06-01 00:00:00,2008-09-01 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,2004-03-01 00:00:00,2005-03-01 00:00:00,2006-03-01 00:00:00.1,2007-03-01 00:00:00.1,2008-03-01 00:00:00.1,2009-03-01 00:00:00,2010-03-01 00:00:00,2011-03-01 00:00:00,2012-03-01 00:00:00,2013-03-01 00:00:00,2014-03-01 00:00:00,2015-03-01 00:00:00,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125
,,Q106,Q206,Q306,Q406,Q107,Q207,Q307,Q407,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010,2011.0,2012.0,2013.0,2014.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Byetta LAR end-user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1500.0,1750.0,2000.0,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Risperdal Consta end-user,144,161,169,185.39999999999998,205,232,226,261.20000000000005,278.7,293.6,295.1,309,343.1,337.5,318.8,325,347.8,352.6,352.6,352.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.4,924.2,1176.4,1324.4,1405.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Imputed Rate,0.025027777777777777,0.025062111801242237,0.02501775147928994,0.030744336569579294,0.025068292682926832,0.02505603448275862,0.025101769911504423,0.024984686064318525,0.025052027269465378,0.025027247956403268,0.02502202643171806,0.025058252427184468,0.025010201107548816,0.025004444444444444,0.024999999999999998,0.025406153846153846,0.025017251293847038,0.025008508224617126,0.025575723199092452,0.026142938173567776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026640885653624508,0.02504977277645531,0.02503995239714383,0.025103443068559345,0.02543753557199772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Risperdal Consta royalty,3.604,4.035,4.228,5.7,5.139,5.813,5.673,6.526,6.982,7.348,7.384,7.743,8.581,8.439,7.97,8.257,8.701,8.818,9.017999999999999,9.217999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,9.636,17.567,23.151,29.457,33.247,35.754999999999995,35.039899999999996,34.339102,33.65231996,32.979273560799996,32.319688089584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing Revenue,13.983,13.526,14.715,22.677,22.193,26.122,28.763,28.338,31.517,24.137,14.275,31.771,38.61,33.039,20.533,24.662,28.804,32.835,27.835,22.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.89400000000002,,,,32.52599999999999,,,,,,,,,,,,25.736,40.488,64.90100000000001,105.416,101.7,114.136,112.309,110.06282,107.8615636,105.70433232799999,103.59024568144,101.5184407678112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vumerity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP Royalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vivitrol,,,,,,,,,,,,0,0,0,0,4.467,4.226,4.643,5.643,6.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,,,,96.1,,,,,,,,,,,,,,,,,30.0,21.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aristada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.4,,,,74.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,7.251,29.127000000000002,22.475,26.315,24.206000000000003,29.235,27.977,29.98,6.989,5.909,5.127,2.025,1.351,5.833,3.736,6.489,5.765000000000001,1.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,,,,0.106,,,,,,,,,,,,9.528,26.002,85.168,111.39800000000001,20.049999999999997,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Byetta LAR royalties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.75,112.5,131.25,150.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lybalvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Revenue,24.838,46.688,41.418,54.692,51.538000000000004,61.17,62.413,64.84400000000001,45.488,37.394,26.785999999999998,41.539,48.542,47.311,32.239,43.87499999999999,47.495999999999995,48.157,42.496,38.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.70900000000006,,,,276.23199999999997,0,0,0,0,0,0,0,0,0,0,,39.054,76.12599999999999,167.63600000000002,239.96500000000003,151.207,186.38299999999998,169.219,238.85272,254.70066559999998,270.60665228799996,286.56951924224,298.8381288573952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,4.517,4.36,6.077,8.535,9.338,11.822,12.989,11.06,10.145,9.218,7.499,13.815,14.314,11.671,5.236,11.475,12.366,14.592,10.624,9.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.124,,,,58.36,,,,,,,,,,,,19.037,16.834,23.489,45.2,40.7,42.696,47.256,54.9361256,56.034146432,56.82739698047999,57.31390384844798,59.76762577147903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
