Main,Unnamed: 1,Unnamed: 2
,SOLD TO BIOVITRUM IN Q3 2008,
,Brand Name,Kepivance
,Generic Name,Palifermin
,Indication,Reduction of oral mucositis in hematologic malignancies.
,,Chemo-induced mucositis in solid tumors.
,Mechanism,Recombinant human keratinocyte growth factor. Binding KGF to its receptor results in proliferation of epithelial cells.
,Market,Oral mucositis for BMT is $50m-$100m opportunity - Lehman
,,BMT is 11k pts/yr
,,Mucositis market is 400k pts/yr (patients with solids receiving chemo/radiation)
,Sales,Street expectations of $300m
,,AMGN has said at 2004 R&D day it expected peak WW sales >1B.
,Clinical Trials,
,,Head and Neck p3 trial started 10/04. Data to support FDA filing/off-label use in 06-07
,,
,,fTBI/HD Chemo with Autologous Peripheral Blood Progenitor Cell Transplantation - ASH 2006
,,
,"Reimbursement to docs for patients undergoing BMT is usually capitated, so AMGN has less pricing power.",
,NEJM p3 pivotal trial,
,,
,,
,,
,"Internal launch meeting/""party"" 4/8/05",
