Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423
,Revenue,,,,,,,,,0,,,,71.428,,,
,COGS,,,,,,,,,0,,,,5.283,,,
,Gross Profit,,,,,,,,,0,,,,66.145,,,
,R&D,,,,,,,,,21.464,,,,24.192,,,
,SG&A,,,,,,,,,26.35,,,,44.006,,,
,Operating Expenses,,,,,,,,,47.814,,,,68.19800000000001,,,
,Operating Income,,,,,,,,,-47.814,,,,-2.0530000000000115,,,
,Interest Income,,,,,,,,,0.112,,,,3.456,,,
,Pretax Income,,,,,,,,,-47.702,,,,1.4029999999999885,,,
,Taxes,,,,,,,,,0.146,,,,-0.17,,,
,Net Income,,,,,,,,,-47.848,,,,1.5729999999999884,,,
,EPS,,,,,,,,,-0.9272093745658067,,,,0.02219755356994291,,,
,Shares,,,,,,,,,51.60431,,,,70.863665,,,
