Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Glucagon,,,,18.319,25.696,27.276,,31.198,28.535,27.373,,,,,,,,,,,,,,,,,
,Epinephrine,,,,21.427,20.091,16.714,,24.646,26.11,27.941,,,,,,,,,,,,,,,,,
,Primatene MIST,,,,22.279,23.483,16.52,,24.484,24.166,22.856,,,,,,,,,,,,,,,,,
,Baqsimi,,,,0,0,0,0,0,13.843,30.854,,,,,,,,,,,,,,,,,
,Lidocaine,,,,13.286,13.646,14.006,,14.988,12.773,12.8,,,,,,,,,,,,,,,,,
,Phytonadione,,,,11.666,7.713,17.855,,11.922,9.973,10.304,,,,,,,,,,,,,,,,,
,Enoxaparin,,,,7.812,9.867,7.872,,6.092,7.096,5.273,,,,,,,,,,,,,,,,,
,Naloxone,,,,4.845,4.957,5.102,,4.23,4.287,3.8,,,,,,,,,,,,,,,,,
,Other,,,,33.082,30.227,37.521,,35.015,29.154,34.652,,,,,,,,,,,,,,,,,
,Baqsimi NEB,,,,0,0,0,0,0,14.207,3.006,,,,,,,,,,,,,,,,,
,API,,,,2.307,4.012,2.846,,25.53,1.692,3.535,,,,,,,,,,,,,,,,,
,Revenue,,,120.129,135.02299999999997,140.022,145.712,180.556,178.105,171.836,182.394,0,0,,,,,,,,,,,,,,,
,COGS,,,61.619,63.855,66.182,72.974,72.153,81.965,81.736,87.228,,,,,,,,,,,,,,,,,
,Gross Profit,,,58.510000000000005,71.16799999999998,73.83999999999999,72.73799999999999,108.403,96.13999999999999,90.10000000000001,95.16600000000001,,,,,,,,,,,,,,,,,
,S&M,,,4.784,5.472,7.109,6.718,6.407,8.619,9.371,9.012,,,,,,,,,,,,,,,,,
,G&A,,,11.984,10.628,13.483,12.281,12.654,13.122,15.676,13.285,,,,,,,,,,,,,,,,,
,R&D,,,18.514,17.236,19.815,16.843,16.664,20.419,17.043,17.652,,,,,,,,,,,,,,,,,
,Operating Expenses,,,35.282,33.336,40.407000000000004,35.842,35.725,42.16,42.09,39.949,,,,,,,,,,,,,,,,,
,Operating Income,,,23.22800000000001,37.83199999999998,33.432999999999986,36.89599999999999,72.678,53.97999999999999,48.010000000000005,55.21700000000001,,,,,,,,,,,,,,,,,
,Interest Income,,,-0.632,3.428,0.136,-4.088,-9.041,-12.635,-0.134,-4.974,,,,,,,,,,,,,,,,,
,Pretax Income,,,22.596000000000007,41.25999999999998,33.56899999999999,32.807999999999986,63.637,41.34499999999999,47.876000000000005,50.24300000000001,,,,,,,,,,,,,,,,,
,Taxes,,,6.559,7.29,6.752,6.383,14.025,4.673,4.126,12.294,,,,,,,,,,,,,,,,,
,Net Income,,,16.037000000000006,33.96999999999998,26.81699999999999,26.424999999999986,49.612,36.67199999999999,43.75000000000001,37.94900000000001,,,,,,,,,,,,,,,,,
,EPS,,,0.30380010608471636,0.6568566787841282,0.5160092360977485,0.4976272080147638,0.9200867936425512,0.6917418040517597,0.8252692735744065,0.7291434500249782,,,,,,,,,,,,,,,,,
,Shares,,,52.788,51.716,51.97,53.102,53.921,53.014,53.013,52.046,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,0.5030175894247018,0.31907156558512284,0.2272071531616462,0.25174316459866053,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,0.6003843682846319,0.5397939417759187,0.5243371586861891,0.5217605842297445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,97.994,89.181,183.503,,,,,,,
,CX,,,,,,,,,,,,,,,,,,27.456,24.034,38.166,,,,,,,
,FCF,,,,,,,,,,,,,,,,,,70.538,65.14699999999999,145.337,,,,,,,
