Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NorthAmerica,,,,,,,,44124,35812,38653,42638,53670,46127,55436,59373,75346,64366,67550,65557,82360,69244,74430,78843,93363,76881,82546,87887,105514,86341,90033,95537,115586,92887,100068,102224.59000000001,123677.02,,,,,,,,,,,,,,,,,,,,,,,,,50834.0,63708.0,79785.0,106110.0,141366.0,170773.0,236282.0,279833.0,315880.0,352828.0,387497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11567.0,12483.0,13580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Electronics/General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38517.0,50401.0,64887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International,,,,,,,,41873,16192,16370,18348,23813,19106,22668,25171,37467,30649,30721,29145,37272,28759,27065,27720,34463,29123,29697,32137,40243,31935,31663,35888,43420,33513,36761,38400.16,46459.4,,,,,,,,,,,,,,,,,,,,,,,,,33510.0,35418.0,43983.0,103273.0,134099.0,74723.0,104412.0,127787.0,118007.0,131200.0,142906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10938.0,10026.0,10631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Electronics/General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22369.0,25196.0,33107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AWS,,,,,,,,7430,7696,8381,8995,9954,10219,10808,11601,12742,13503,14809,16110,17780,18441,19739,20538,21378,21354,22140,23059,24204,25037,26281,27452,28786,29267,30873,30197.2,31664.600000000002,,,,,,,,,,,,,,,,,,,,,,,,,4644.0,7880.0,12219.0,17459.0,25655.0,35026.0,45370.0,62202.0,80096.0,90757.0,107556.0,122001.8,146402.16,175682.592,202034.9808,222238.47888,244462.32676800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Online Stores,,,,,,,,39822,29498,31053,35039,45657,36652,45896,48350,66451,52901,53157,49942,66075,51129,50855,53489,64531,51096,52966,57267,70543,54670,55392,61411,75556,57407,61485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122987.0,141247.0,197349.0,222075.0,220004.0,231872.0,247029.0,259380.45,272349.47250000003,285966.9461250001,300265.2934312501,315278.5581028126,331042.48600795324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physical Stores,,,,,,,,4401,4307,4330,4192,4363,4640,3774,3788,4022,3920,4198,4269,4688,4591,4721,4694,4957,4895,5024,4959,5152,5202,5206,5228,5579,5533,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17224.0,17192.0,16224.0,17075.0,18963.0,20030.0,21215.0,22275.75,23389.537500000002,24559.014375000002,25786.965093750005,27076.313348437507,28430.129015859384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Third-party,,,,,,,,13383,11141,11962,13212,17446,14479,18195,20436,27327,23709,25085,24252,30320,25335,27376,28666,36339,29820,32332,34342,43559,34596,36201,37864,47485,36512,40348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42745.0,53761.0,80437.0,103366.0,117716.0,140053.0,156146.0,163953.30000000002,172150.96500000003,180758.51325000005,189796.43891250005,199286.26085812505,209250.5739010313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subscription,,,,,,,,3959,4342,4676,4957,5235,5556,6018,6572,7061,7580,7917,8148,8123,8410,8716,8903,9189,9657,9894,10170,10488,11824,12771,14331,17288,13921,15694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14167.0,19210.0,25207.0,31768.0,35218.0,40209.0,56214.0,61835.4,68018.94,74820.834,78561.8757,82489.96948500001,86614.46795925002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ads,,,,,,,,3388,2716,3002,3586,4782,3906,4221,5398,7350,6381,7451,7612,9716,7877,8757,9548,11557,9509,10683,12060,14654,10722,10866,11278,11508,11715,12208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10108.0,14086.0,20875.0,31160.0,37739.0,46906.0,44374.0,48811.4,53692.54000000001,59061.794000000016,62014.88370000002,65115.62788500002,68371.40927925003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
