Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cortrophin Gel,16.33,24.304,29.734,41.74900000000001,36.937,49.193,52.555,59.400000000000006,52.85,81.647,78.8325,89.10000000000001,,,,,,,112.117,198.085,302.4295,393.15835000000004,511.1058550000001,613.327026,735.9924312,809.5916743200002,850.0712580360002,892.5748209378003,937.2035619846903,984.0637400839248,1033.266927088121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iluvien/Yutiq,,,0,0,0,0,3.871,27.643,16.109,22.316,22.316,22.316,,,,,,,0.0,31.514,83.057,82.22643000000001,81.40416570000001,80.590124043,79.78422280257,78.9863805745443,78.19651676879886,77.41455160111087,76.64040608509977,75.87400202424877,75.11526200400628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brands,,28.926,31.502,,25.679,10.027,13.683,15.353999999999996,25.123,13.195,13.195,13.195,,,,,,,85.384,64.743,64.708,58.2372,52.41348,47.172132,42.4549188,38.209426920000006,34.388484228,30.949635805200003,27.854672224680005,25.069205002212005,22.562284501990806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generics,,63.317,70.593,,70.217,73.964,78.223,78.60000000000001,98.678,90.297,90.297,90.297,,,,,,,269.449,301.004,369.56899999999996,332.6121,299.35089,269.415801,242.4742209,218.22679881000002,196.40411892900002,176.76370703610002,159.08733633249003,143.17860269924103,128.86074242931693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Royalties,,,,,4.597,4.856,,9.577000000000002,4.362,3.916,3.916,3.916,,,,,,,19.866,19.03,16.11,14.499,13.049100000000001,11.744190000000001,10.569771000000001,9.512793900000002,8.561514510000002,7.705363059000002,6.934826753100002,6.241344077790002,5.617209670011002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,106.786,116.547,131.829,,137.43,138.04,148.332,190.574,197.12199999999999,211.371,208.5565,218.824,,,,,,316.385,486.81600000000003,614.376,835.8734999999999,880.73308,957.3234907000001,1022.249273043,1111.27556470257,1154.5270745245446,1167.6218924717991,1185.4080784392113,1207.72080338006,1234.4268938874166,1265.4224256934463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,37.708,42.284,48.101,,49.157,57.968,63.075,80.00999999999998,73.037,74.615,,,,,,,,138.785,181.513,250.21,417.93674999999996,352.293232,287.19704721000005,276.00730372161,277.8188911756424,265.5412271406452,233.52437849435978,237.08161568784226,241.54416067601198,246.8853787774833,253.08448513868916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,69.078,74.263,83.72800000000001,,88.27300000000001,80.07199999999999,85.25699999999999,110.56400000000004,124.08499999999998,136.75600000000003,,,,,,,,177.6,305.303,364.16599999999994,417.93674999999996,528.439848,670.12644349,746.24196932139,833.4566735269275,888.9858473838993,934.0975139774393,948.326462751369,966.176642704048,987.5415151099332,1012.3379405547571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,5.924,7.374,11.121,,10.511,7.296,10.128,16.646000000000004,10.564,16.535,,,,,,,,22.318,34.286,44.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,36.468,38.76,42.007,,48.021,52.821,79.075,69.71899999999998,76.528,81.771,,,,,,,,124.044,161.697,249.636,262.1178,275.22369,288.9848745,303.434118225,318.60582413625,334.53611534306253,351.2629211102157,368.8260671657265,387.26737052401285,406.6307390502135,426.9622760027242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,42.392,46.134,53.128,0,58.532,60.117,89.203,86.36499999999998,87.09200000000001,98.306,,,,,,,,146.362,195.983,294.217,262.1178,275.22369,288.9848745,303.434118225,318.60582413625,334.53611534306253,351.2629211102157,368.8260671657265,387.26737052401285,406.6307390502135,426.9622760027242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,26.686,28.129000000000005,30.60000000000001,0,29.741000000000014,19.95499999999999,-3.946000000000012,24.199000000000055,36.99299999999997,38.45000000000003,,,,,,,,31.238,109.32,69.94899999999996,155.81894999999997,253.216158,381.14156899000005,442.80785109639,514.8508493906775,554.4497320408368,582.8345928672236,579.5003955856425,578.9092721800353,580.9107760597198,585.375664552033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,-7.696,-7.1,-6.398,,-4.6,-4.744,-2.331,-5.927000000000001,-5.286,-3.699,,,,,,,,-28.052,-26.94,-17.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,18.990000000000002,21.029000000000003,24.20200000000001,0,25.141000000000012,15.210999999999991,-6.277000000000012,18.272000000000055,31.706999999999965,34.75100000000003,,,,,,,,3.186,82.38,52.34699999999995,155.81894999999997,253.216158,381.14156899000005,442.80785109639,514.8508493906775,554.4497320408368,582.8345928672236,579.5003955856425,578.9092721800353,580.9107760597198,585.375664552033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,0.726,0,1.571,,7.128,0,0,-7.128,4.306,1.976,,,,,,,,0.0,1.093,0.0,,63.3040395,95.28539224750001,110.7019627740975,128.71271234766937,138.6124330102092,145.7086482168059,144.87509889641063,144.72731804500881,145.22769401492994,146.34391613800824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,18.264000000000003,21.029000000000003,22.631000000000007,0,18.013000000000012,15.210999999999991,-6.277000000000012,25.400000000000055,27.400999999999964,32.775000000000034,,,,,,,,3.186,81.28699999999999,52.34699999999995,155.81894999999997,189.91211850000002,285.85617674250005,332.10588832229246,386.1381370430081,415.8372990306276,437.1259446504177,434.6252966892319,434.18195413502644,435.6830820447898,439.0317484140247,417.0801609933235,396.22615294365727,376.41484529647437,357.59410303165066,339.71439788006813,322.7286779860647,306.59224408676147,291.26263188242336,276.6995002883022,262.86452527388707,249.7212990101927,237.23523405968305,225.3734723566989,214.10479873886393,203.39955880192073,193.2295808618247,183.56810181873345,174.38969672779677,165.67021189140692,157.38670129683658,149.51736623199474,142.041497920395,134.93942302437523,128.19245187315647,121.78282927949864,115.6936878155237,109.90900342474751,104.41355325351013,99.19287559083462,94.23323181129288,89.52157022072824,85.04549170969182,80.79321712420722,76.75355626799686,72.915878454597,69.27008453186716,65.8065803052738,62.5162512900101,59.3904387255096,56.42091678923411,53.5998709497724,50.91987740228378,48.37388353216959,45.95518935556111,43.65742988778305,41.4745583933939,39.4008304737242,37.430788950037986,35.55924950253608,33.78128702740928,32.09222267603881,30.487611542236866,28.96323096512502,27.51506941686877,26.13931594602533,24.832350148724064,23.59073264128786,22.411196009223467,21.290636208762294,20.22610439832418,19.21479917840797,18.25405921948757,17.34135625851319,16.47428844558753,15.650574023308153,14.868045322142745,14.124643056035607,13.418410903233825,12.747490358072133,12.110115840168525,11.504610048160098,10.929379545752091,10.382910568464487,9.863765040041262,9.370576788039198,8.902047948637238,8.456945551205376,8.034098273645107,7.632393359962851,7.250773691964708,6.888235007366473,6.543823256998149,6.216632094148241,5.9058004894408285,5.610510464968787,5.3299849417203475,5.06348569463433,4.810311409902613,4.569795839407482,4.341306047437108,4.1242407450652525,3.9180287078119895,3.72212727242139,3.53602090880032,3.359219863360304,3.191258870192289,3.031695926682674,2.8801111303485403
,EPS,1.1048333434154016,1.177765331839821,1.1833202614379088,,0.9274534033570184,0.7872780911961074,-0.32349000206143125,1.3148359043379259,1.3669061159333515,1.6138960015757353,,,,,,,,0.19594095940959408,4.46779157964164,2.709752562377055,8.06599803292266,9.830837483176312,14.797400183378198,17.191525433393334,19.988515221193087,21.52589807592026,22.627908926929166,22.49846240238285,22.475512689461976,22.55321886555491,22.726563226732825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,16.531,17.855,19.125,,19.422,19.321,19.404,19.318,20.046,20.308,,,,,,,,16.26,18.194,19.318,19.318,19.318,19.318,19.318,19.318,19.318,19.318,19.318,19.318,19.318,19.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cortrophin y/y,,,,,1.2619105939987754,1.024070111915734,0.7675052128876032,0.42278856978610246,0.43081463031648504,0.6597280100827356,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,,,,,,,,0.5613414036695797,0.6271424932623414,0.5927412529135252,0.5,0.6,0.7,0.73,0.75,0.77,0.8,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
