Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,ACV,,,,,,,,755.4,,,,,,,,1870.7,,,,
,,,,,,,,,,,,,,,,,,,,,
,License,,,141.622,382.057,132.604,214.822,200.394,397.977,157.445,208.981,220.43340000000003,437.7747,,,,945.797,1024.6341,,,
,Maintenance,,,225.343,241.629,230.622,231.832,240.774,257.69,267.632,264.869,264.8514,283.459,,,,960.9180000000001,1080.8114,,,
,Revenue,,,366.96500000000003,623.686,363.226,446.654,441.168,655.6669999999999,425.077,473.85,485.2848,721.2337,,,,1906.7150000000001,2105.4455,,,
,COGS,,,43.474,56.488,47.154,49.132999999999996,47.557,53.378,47.508,45.073,48.52848,72.12337000000001,,,,197.22199999999998,213.23285000000004,,,
,Gross Margin,,,323.49100000000004,567.1980000000001,316.072,397.521,393.611,602.2889999999999,377.569,428.77700000000004,436.75632,649.11033,,,,1709.4930000000002,1892.2126499999997,,,
,SG&A,,,132.642,195.845,146.215,160.41,165.368,243.384,169.755,170.383,173.6364,255.5532,,,,715.377,769.3276000000001,,,
,R&D,,,86.616,96.51,100.479,100.879,102.023,101.489,105.274,108.941,107.12415,106.56345,,,,404.87,427.9026,,,
,Operating Expenses,,,219.25799999999998,292.355,246.69400000000002,261.289,267.39099999999996,344.873,275.029,279.324,280.76055,362.11665,,,,1120.2469999999998,1197.2302,,,
,Operating Income,,,104.23300000000006,274.8430000000001,69.37799999999999,136.23200000000003,126.22000000000003,257.4159999999999,102.54000000000002,149.45300000000003,155.99577,286.99368,,,,589.2460000000003,694.9824499999997,,,
,Interest Expense,,,-1.099,-1.834,-2.798,-2.8499999999999996,-2.402,-2.277,-2.44,-4.34,-1,-1,,,,-10.327000000000002,-8.78,,,
,Pretax Income,,,103.13400000000006,273.00900000000007,66.57999999999998,133.38200000000003,123.81800000000003,255.1389999999999,100.10000000000002,145.11300000000003,154.99577,285.99368,,,,578.9190000000003,686.2024499999998,,,
,Taxes,,,14.517,42.24,0,35.144,18.556,31.802,7.041,24.094,23.2493655,42.899052,,,,85.50200000000001,97.2834175,,,
