Main,Unnamed: 1,EUR,EUR.1,EUR.2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Customers,,,,,,,,,,2219.0,2025.0,2509.0,,,,,,
,Related,,,,,,,,,,484.0,654.0,724.0,,,,,,
,Revenue,714.6,795.2,968.3,1113.5449999999998,1280.5767499999997,1472.6632624999995,1693.5627518749993,1947.597164656249,2027.0,2703.0,2679.0,3233.0,3556.3,3911.9300000000003,4303.1230000000005,4733.435300000001,5206.778830000001,5727.456713000001
,COGS,39.3,37.8,39.3,,,,,,,131.0,106.0,154.0,,,,,,
,Gross Profit,675.3000000000001,757.4000000000001,929.0,,,,,,,2572.0,2573.0,3079.0,3200.67,3520.7370000000005,3872.8107000000005,4260.091770000001,4686.100947000001,5154.711041700001
,R&D,995.0,995.0,,,,,,,,995.0,1133.0,1979.0,1144.33,1201.5465,1261.623825,1324.70501625,1390.9402670625,1460.487280415625
,SG&A,897.0,897.0,,,,,,,,897.0,762.0,983.0,769.62,808.101,848.5060500000001,890.9313525000001,935.4779201250002,982.2518161312503
,Operating Expenses,1892.0,1892.0,,,,,,,,1892.0,1895.0,2962.0,1913.9499999999998,2009.6475,2110.129875,2215.63636875,2326.4181871875003,2442.7390965468753
,Operating Income,-1216.6999999999998,-1134.6,,,,,,,,680.0,678.0,117.0,1286.7200000000003,1511.0895000000005,1762.6808250000004,2044.4554012500007,2359.6827598125005,2711.971945153126
,Interest,,,,,,,,,,,,,,,,,,
,Pretax,-1216.6999999999998,-1134.6,,,,,,,,680.0,678.0,117.0,,,,,,
,Taxes,,,,,,,,,,,,,,,,,,
,Net Income,-1216.6999999999998,-1134.6,,,,,,,,680.0,678.0,117.0,,,,,,
,EPS,-1.186753463111836,-1.1066741836497813,,,,,,,,0.6632632160072726,0.6598508036457242,0.11201564006406911,,,,,,
,Shares,1025.234,1025.234,,,,,,,,1025.234,1027.505,1044.497,,,,,,
,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,0.11279037223621602,0.21768108651911455,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.04076964003886574,0.33349777997039953,-0.008879023307436174,0.20679357969391554,,,,,,
,,,,,,,,,,,,,,,,,,,
,CFFO,458.0,458.0,,,,,,,,458.0,739.0,1090.0,,,,,,
,CX,34.0,34.0,,,,,,,,34.0,64.0,92.0,,,,,,
,FCF,424.0,424.0,,,,,,,,424.0,675.0,998.0,,,,,,
