Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,AST2818,
,Generic,"firmonertinib, aka furmonertinib and aflutinib",
,Indication,EGFRm NSCLC exon20ins,
,,"4700 US patients with exon 20, 6200 US patients with PACC",
,MOA,EGFR inhibitor,
,,,Covalent bond to Cys797
,Economics,"Allist (688578 CH, $47B CNY MC)",
,Regulatory,approved in China,
,Competition,"osimertinib (Tagrisso, AZD9291)",
,,lazertinib,
,,olmutinib,
,,"sunvozertinib (Zagfrovy) - effective against exon 20, 46% RR, 11.1mo DOR",
,,,"688192 CH, 28B CNY MC"
,,befotertinib,
,,afatinib (Gilotrif) approved 7/12/13,
,,,"non exon 19, non-L858R had PFS detriment: 2.8 months vs. 9.9 months chemotherapy"
,,BLU-945,
,,BLU-701,
,,BBT-176,
,,TQB-3804,
,,BBT-207,
,IP,Preparation Method and Application of Pyridylaminopyrimidine Derivative: CN105315259B,
,Clinical Trials,,
,,"Phase III ""FURVENT"" n=375 1L exon 20 ins NSCLC",
,,early 2026 results,
,,160mg vs. 240mg vs. doublet,
,,,
,,"Phase III ""ALPACCA"" n=480 vs. osimertinib or afatinib 1L NSCLC PACC",
,,,
,,,
,,,
,,FURTHER,
,,64% (14/22) reduction in tumor of at least 30%,
,,240mg 16 months median PFS,
,,,
,,Phase Ib FAVOUR,
,,7 out of 10 tumor size reductions (response?),
,,"78.6% ORR, 15.2 months DOR 1L",
,,"46.2% ORR, 13.1 months DOR 2L",
,,,
,,Phase III FURLONG vs. gefitinib,
,,"mPFS: 20.8 months vs. 11.1 months, HR=0.44 ",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,"2023 ESMO, Zegfrovy as a solo treatment in 1L ORR of 79% and a median PFS 12.4 months. ",
,,,
,,,
,,,
,,,
,,Phase III FLAURA,
,,18.9mo vs. 10.2mo,
,,,
,,,
,,AURA,
,,,
,,Phase II osimertinib NSCLC EGFR exon 20 insertion,
,,n=15 no responses,
