Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,Patent No. 1002616/Greece,"February 21, 1996/",,"February 20, 1997/",,2017-02-20
,,Invention related to the synthesis and the method of synthesis of molecules of a novel formula.,,,,
,,"This method is to be applied for the obtention of anticonvulsant, antidepressant and nootropic pharmaceuticals.",,,,
,,,,,,
,Patent No. 1004208/Greece,,,,,
,,"October 15, 2001/","April 4, 2003/",2023-04-04 00:00:00,,
,,"Aminotetrahydrofuran derivatives, muscarinic/sigma/sodium channel ligands, with synergic sigma/muscarinic (neuroactivating) and sigma/sodium channel (neuroprotective) components, as prototypical activating – neuroprotectors and neuroregenerative drugs",,,,
,,,,,,
,Patent No. 1004868/Greece,,,,,
,,"April 22, 2003/","April 26, 2005/",2025-04-26 00:00:00,,
,,"Aminotetrahydrofuran derivatives, muscarinic/sigma/sodium channel ligands, ortho-and allo-sterically operating, as prototypical neuromodulating and neuroregenerative drugs",,,,
,,,,,,
,,,,,,
,Patent Application No. 20070100020/ Greece,2007-01-17 00:00:00,,,,
,,"New sigma (s) receptor ligands with anti-apoptotic and/or pro-apoptotic properties over cellular biochemical mechanisms, with neuroprotective, anti-cancer, anti-metastatic and anti-(chronic) inflammatory action.",,,,
,ALEXANDROS  VAMVAKIDIS,,,,,
,,,,,,
,,,,,,
,"Dr. Alexandre Vamvakides, Chief Scientific Officer and Director",,,,,
,"Prior to joining our company, Dr. Vamvakides has spent thirty years in research focusing on the therapeutic/pharmacological areas of nootropes, anti-neurodegenerative (anti-Alzheimer), antiepileptic, antidepressive, and prototype molecules. During his career, Dr. Vamvakides has been published over 80 times in highly respected Medical/Scientific journals. In the past 30 years, Dr. Vamvakides has pioneered his expertise at the Institut National de la",,,,,
,"Sante et de la Recherche Medicale (INSERM) in Paris France, at the University of Athens (Greece) as well as at Chropi Pharmaceuticals (Piraeus, Greece), Ciba-Geigy (Basel, Switzerland) and Sanofi (Montpellier, France) for the development of new concepts in the aforementioned therapeutic/pharmacological areas.",,,,,
,"Dr. Vamvakides holds a M.Sc. in Chemistry from Bordeaux University, France, a M.Sc. in Pharmacology, a M.Sc. in Biochemistry and a Ph.D. in Molecular Pharmacology all from the University of Paris, Medical School.",,,"Several pharmacological targets have been identified for ANAVEX1-41. In particular, pharmacological screening using competition binding confirmed that ANAVEX1-41 is a potent muscarinic acetylcholine receptor ligand and a s1 receptor ligand. Functional tests in the rabbit vas deferens, guinea-pig atria and ileum revealed that the drug is an M1 muscarinic acetylcholine receptor agonist and an M2/M3 receptor antagonist, with a median efficacy of 1mM (for M1 and M2) and 0.3mM (for M3).",,
,,,,LU 25-109,,
,,,,https://pubmed.ncbi.nlm.nih.gov/10668706/,,
,,,,https://pubmed.ncbi.nlm.nih.gov/3281057/,,
