Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,MOA,Phase,IP,,Price,1.35,,
,blarcamesine,Alzheimer's,Fake,Filed EMA,,,Shares,85.893834,Q225,
,,,,,,,MC,115.95667590000001,,
,,,,,,,Cash,101.164,Q225,1.1777795365380943
,,,,,,,Debt,0.0,Q225,
,,,,,,,EV,14.792675900000006,,
,YE25: review response according to Missling Q424 earnings call.,,,,,,,,,
,6/13/2015: 210 day clock,,,,,,PIC,463.494,Q225,
,2024: filed with EMA,,,,,,AD,372.621,Q225,
,5/21/2008: Panos Kontzalis resigns.,,,,,,,,,
,1/31/2007: Alexandre Vamvakides agreement.,,,,,,CEO: Christopher Missling,,,
,"1/25/2007: changes name to Anavex Life Sciences, ticker change.",,,,,,Head of R&D: Juan Carlos Lopez-Talavera,,,
,,,,,,,CMO: Edward Hammond,,,
,1/23/2004: founded by Harvey Lalach and Athanasios Skarpelos as Thrifty Printing.,,,,,,,,,
,,,,,,,"Former CEO: Panos Kontzalis, Herve de Kergrohen",,,
,,,,,,,President: Harvey Lalach,,,
,,,,,,,Co-founder/CSO: Alexandre Vamvakides,,,
,,,,,,,,,,
,,,,,,,,,,
,NOV,B,M,A,L,IV,,,,
,1,0,0.025,0.05,0.05,0,-1,,,
,2,0.15,0.15,0.15,0.3,0.6499999999999999,3.333333333333333,,0.6,0.5
,3,0.4,0.4,0.4,0.6,1.65,3.124999999999999,,0.6153846153846154,0.5714285714285715
,4,0.7,0.725,0.75,1,2.65,2.6551724137931036,,0.5185185185185185,0.49999999999999994
,5,1.2,1.25,1.3,1.52,3.65,1.92,,0.6153846153846154,0.625
,6,1.7,1.725,1.75,1.95,4.65,1.6956521739130435,,0.6296296296296295,0.6216216216216216
,7,2.4,2.525,2.65,2.45,5.65,1.2376237623762378,,0.7058823529411765,0.7214285714285714
,8,3.1,3.25,3.4,3.5,6.65,1.0461538461538464,,0.775,0.7738095238095237
,9,3.8,4,4.2,3.9,7.65,0.9125000000000001,,0.8837209302325582,0.8421052631578947
,10,4.2,4.6,5,4.7,8.65,0.8804347826086958,,0.9333333333333333,0.8598130841121495
,11,5.3,5.55,5.8,4.5,9.65,0.738738738738739,,0.9464285714285715,0.8809523809523809
,12,6.1,7.35,8.6,3.8,10.65,0.44897959183673475,,0.9838709677419354,1.0425531914893615
,13,6.9,8,9.1,3.5,11.65,0.45625000000000004,,0.9857142857142858,1.019108280254777
,,,,,,,,,,
,,,,,,,,,,
,DEC,B,M,A,L,IV,,,,
,1,0.05,0.07500000000000001,0.1,0.05,0,,,,
,2,0.25,0.3,0.35,0.3,0.6499999999999999,1.1666666666666665,,,
,3,0.65,0.7,0.75,0.6,1.65,1.3571428571428572,,,
,4,1.35,1.4500000000000002,1.55,1,2.65,0.8275862068965514,,,
,5,1.95,2,2.05,1.52,3.65,0.825,,,
,6,2.7,2.7750000000000004,2.85,1.95,4.65,0.6756756756756757,,,
,7,3.4,3.5,3.6,2.45,5.65,0.6142857142857143,,,
,8,4,4.2,4.4,3.5,6.65,0.5833333333333333,,,
,9,4.3,4.75,5.2,3.9,7.65,0.6105263157894738,,,
,10,4.5,5.35,6.2,4.7,8.65,0.6168224299065421,,,
,11,5.6,6.3,7,4.5,9.65,0.5317460317460319,,,
,12,6.2,7.050000000000001,7.9,3.8,10.65,0.5106382978723403,,,
,13,7,7.85,8.7,3.5,11.65,0.4840764331210192,,,
