Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Small Products,,,,,,,,,
,Abraxane,Metastatic Breast Cancer,ABBI,,Taxane,,,,,
,Accolate,,,,,,,,,
,Arimidex (anastrozole),Breast Cancer,100%?,,Aromatase,Oral,,,,
,Atacand (candesartan),Hypertension,,,,Oral,,,,
,Axanum (ASA+Nexium),,,,,,,,,
,Beyfortus,nirsevimab,,,,IV,,,$712m gain in Q223 via contracts,
,Casodex,Cancer,,,,,,,,
,Ceftaroline,cSSSI,FRX,III,Beta-lactamase,,,,,
,Crestor (rosuvastatin),Lipid Lowering,Shionogi,2003-08-12 00:00:00,Statin,Oral,,,,
,Evushield,,,,,,,,,
,Faslodex,,,,,,,,,
,Nexium (esomeprazole),Acid Reflux,1,,PPI,Oral,,,,
,Oxis,,,,,,,,,
,Pulmicort,,,,,,,,Divested US rights of Flexhaler for $241m in Q123. 80% of revenue from Emerging markets as of 1H24.,
,Seroquel (quetiapine),Schizophrenia,1,2007-05-17 00:00:00,Atypical,Oral,,,,
,Seroquel SR (quetiapine),Schizophrenia,1,1997-09-26 00:00:00,Atypical,Oral,,,,
,Toprol XL/Seloken??,Hypertension,,,,Oral,,,,
,Vaxzevria,COVID-19 vaccine,,,,,,,,
,Vimovo (PN400),Acid Reflux,POZN,2010-04-30 00:00:00,Naproxen+Nexium,Generics,Oral,Composition,,
,Voydeya (danicopan),EVH in PNH,,,,,,,,
,Zoladex,Cancer,,,,,,,,
,,,,,,,,,,
,Failures,,,,,,,,,
,"ximelagatran, fka Exanta/Exarta",anticoagulant,,,,,,,,
,AZD0328,,,,,,,,,
,AZD0530,,,,,,,,,
,AZD0837 (atecegatran),anticoagulant,,,,,,,,
,AZD1152,,,,,,,,,
,AZD1386,GERD,1,II,Vanilloid,,,,,
,AZD1480,MPN,JAK2,,,,,,,
,AZD1279,,,,,,,,,
,AZD1656,,,,,,,,,
,AZD1940,,,,,,,,,
,AZD2043,,,,,,,,,
,AZD2066,Pain,1,II,mGlu5 antagonist,,,,,
,AZD2327,Anxiety/Depression,1,II,Enkephalinergic,,,,,
,AZD2479,,,,,,,,,
,AZD2516,GERD,1,I,mGlu5 antagonist,,,,,
,AZD3043,,,,,,,,,
,AZD3152 (sipavibart),COVID-19,,,"long-acting antibody for prevention of COVID-19, met PE for reduction of incidence in immunocompromised patients in Phase III SUPERNOVA trial",,,,,
,AZD3342,,,,,,,,,
,AZD3355 (lesogaberan),GERD,1,II,GABAB,,,,,
,AZD3480,Alzheimer's,TRGT,II,Alpha4/Beta2,Oral,,,,
,AZD4017,Diabetes,1,I,11BHSD,,,,,
,AZD4054,HRPC,,,,,,,,
,AZD4121,Hypercholesterolemia,,,,,,,,
,AZD5180,,,,,,,,,
,AZD5896,,,,,,,,,
,AZD6370,Diabetes,1,II,GK Activator,,,,,
,AZD6482,Thrombosis,1,I,PI3K-beta,,,,,
,AZD6610,,,,,,,,,
,AZD6714,,,,,,,,,
,AZD6765,Depression,1,II,NMDA,,,,,
,AZD7009,,,,,,,,,
,AZD7295,Hepatitis C,1,II,NS5A,,,,,
,AZD8309,,,,CXCR2,,,,,
,AZD8955,COPD,,,,,,,,
,AZD9056,,,,,,,,,
,AZD9684,,,,,,,,,
,Movatizumab/Numax,,,,,,,,,
,Exanta,,,,,,,,,CEO David Brennan (2006-2012)
,NKTR-118/119,OIC,returned to NKTR?,III,Opioid antagonist,,,,,
,zibotenan,,,,,,,,,
,Certriad,,,,,,,,,
,TC-5214,,,,,,,,,
,TC-5619,,,,,,,,,
,R788 (fostamatinib),RA,Returned to RIGL,III,Syk,Oral,NCE,,,
,MEDI-561,,,,,,,,,
,MEDI-528,,,,,,,,,
,MEDI-545 (sifalimumab),SLE,,,Anti-IFN mab,,,,,
,MEDI-547,,,,EphA2 ADC,,,,,
,MEDI-575,Oncology,,,PDGFR,,,,,
,cedarinib,,,,,,,,,
,Zactima (vandetanib),"MTC, NSCLC",1,Filed,Kinase Inhibitor,Oral,,,,
,TC-1473,Cognitive,TRGT,II,Old,Oral,,,,
,8529,Schizophrenia,1,II,Glutamatergic,,,,,
,MEDI-573,Cancer,1,I,IGFR,,,,,
,CytoFab,Severe Sepsis,"BTG, fka Protherics",,polyclonal anti-TNF-alpha antibody fragment,,,,,
,7268,Anxiety/Depression,1,II,Enkephalinergic,,,,,
,8329,Diabetes,1,I,11BHSD,,,,,
,7687,Diabetes,1,I,DAT-1,,,,,
,AZD7009 - Afib,,,,,,,,,
,Cerovive - Stroke,,,,,,,,,
,AGI-1067 - Atherosclerosis,,,,,,,,,
,ALXN1840,Wilson's,,,,,,"discontinued, wroteoff $244m, licensed to MNPR",,
,cotadutide,Type 2 Diabetes,,,GLP-1,,,discontinued,,
,AZD0186,Type 2 Diabetes,,,GLP-1,,,discontinued,,
