Drugs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Brand,LY3002813,,,,
,Generic,donanemab,,,,
,MOA,"N3pG mab (pyroglutamate modification), theorized to remove existing plaque. No affinity for any other AB form (!)",,,,
,Indication,Early Symptomatic Alzheimer's Disease,,,,
,Administration,IV,,,,
,,,,,,
,,"Phase II ""TRAILBLAZER-ALZ"" n=272 Early Symptomatic AD - NCT03367403, NEJM 2021",,,,
,,LY3202626 (BACE) also studied,,,,
,,"iADRS -6.86 vs -10.06 for placebo, p=0.04 at 76 weeks",,,,
,,"CDR-SB -0.36 (baseline 3.5), ADAS-COG13 -1.86 at 76 weeks (27.6 baseline)",,,,
,,,,,,
,,,,,,
,,"Phase III ""TRAILBLAZER-ALZ 2"" n=1800 ""Early AD"" - NCT04437511",,,,
,,"78-week study; prodromal AD, mild AD",,,,https://pubmed.ncbi.nlm.nih.gov/37459141/
,,ADAS-Cog13 (0-85),,,,
,,28.7-29.3,,,,
,,1.33,1.35,,,
,,,28.53 --> 32.72,,4.189999999999998,
,,,29.16 --> 34.53,,5.370000000000001,
,,,,,1.1800000000000033,
