Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Taobao,,,,,,,,,Price USD,105.29,,Price RMB,92.0,
,Tmall,,,,,,,,,Shares,2449.375,Q224,Shares,19595.0,Q224
,,,,,,,,,,MC USD,257894.69375,,MC RMB,1802740.0,
,,,,,,,,,,Cash USD,,Q224,Cash RMB,1029873.0,Q224
,,,,,,,,,,Debt USD,,Q224,Debt RMB,207937.0,Q224
,,,,,,,,,,EV,257894.69375,,EV,980804.0,
,,,,,,,,,,,,,,,
,,,,,,,,,,RMB,6.74,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,HK Listing: 9988,,,,,
,,,,,,,,,,"CEO: Eddie Wu, Daniel Zhang, Jack Ma",,,,,
,,,,,,,,,,CFO: Toby Xu,,,,,
,5/26/22: FY22 results.,,,,,,,,,ADS = 8 ordinary shares,,,,,
