Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Renal,,,,,,964,981,,,931,942,,,,,,,,,
,Medication Delivery,,,,,,697,747,,,710,725,,,,,,,,,
,Pharma,,,,,,546,589,,,528,525,,,,,,,,,
,Clin Nutrition,,,,,,237,244,,,230,231,,,,,,,,,
,Surgery,,,,,,256,249,,,263,247,,,,,,,,,
,Acute Therapies,,,,,,188,185,,,173,158,,,,,,,,,
,BioPharma,,,,,,183,206,,,163,172,,,,,,,,,
,Patient Support,,,,,,0,0,,,364,380,,,,,,,,,
,Front Line Care,,,,,,0,0,,,282,279,,,,,,,,,
,Surgical Solutions,,,,,,0,0,,,69,76,,,,,,,,,
,Other,,,,,,27,25,,,33,38,,,,,,,,,
,Revenue,,,,,2946,3098,3226,,3707,3746,3773,,,3707,,,,3812,,
,COGS,,,,,1801,1865,1905,,2359,2293,2640,,,,,,,,,
,Gross Profit,,,,,1145,1233,1321,,1348,1453,1133,,,,,,,,,
,SG&A,,,,,627,675,680,,1052,976,947,,,,,,,,,
,R&D,,,,,128,139,129,,150,148,152,,,,,,,,,
,Operating Expenses,,,,,755,814,809,,1202,1124,1099,,,,,,,,,
,Operating Income,,,,,390,419,512,,146,329,34,,,,,,,,,
,Interest,,,,,-39,-27,-62,,-52,-34,-167,,,,,,,,,
,Pretax Income,,,,,351,392,450,,94,295,-133,,,,,,,,,
,Taxes,,,,,53,94,-1,,23,43,29,,,,,,,,,
,Net Income,,,,,298,298,451,,71,252,-162,,,,,,,,,
,EPS,,,,,0.5831702544031311,0.5854616895874263,0.8913043478260869,,0.13948919449901767,0.49606299212598426,-0.32142857142857145,,,,,,,,,
,Shares,,,,,511,509,506,,509,508,504,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,-10809,,
,Cash,,,,,,,,,2294,1852,1601,,,,,,,2095,,
,AR,,,,,,,,,2471,2473,2555,,,,,,,2639,,
,Inventories,,,,,,,,,2548,2663,2675,,,,,,,2985,,
,Prepaids,,,,,,,,,860,894,979,,,,,,,874,,
,PP&E,,,,,,,,,5114,4976,4799,,,,,,,4314,,
,Goodwill,,,,,,,,,17509,17103,13566,,,,,,,11742,,
,Lease,,,,,,,,,609,566,546,,,,,,,524,,
,ONCA,,,,,,,,,1311,1304,1244,,,,,,,1139,,
,Assets,,,,,,,,,32716,31831,27965,,,,,,,26312,,
,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,17174,16686,16432,,,,,,,12904,,
,AP,,,,,,,,,1223,1282,1234,,,,,,,1251,,
,AE,,,,,,,,,2258,2226,2195,,,,,,,2412,,
,Lease,,,,,,,,,508,470,454,,,,,,,439,,
,ONCL,,,,,,,,,2434,2264,2071,,,,,,,1598,,
,SE,,,,,,,,,9119,8903,5579,,,,,,,7708,,
,L+SE,,,,,,,,,32716,31831,27965,,,,,,,26312,,
,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,71,252,-162,,,,,,,,,
,Reported NI,,,,,,,,,73,255,-2934,,,,,,,,,
,D&A,,,,,,,,,380,355,334,,,,,,,,,
,DT,,,,,,,,,-55,-32,-87,,,,,,,,,
,SBC,,,,,,,,,32,45,45,,,,,,,,,
,Pension,,,,,,,,,14,14,14,,,,,,,,,
,Impairments,,,,,,,,,0,0,3117,,,,,,,,,
,Other,,,,,,,,,-12,-29,125,,,,,,,,,
,WC,,,,,,,,,-224,-334,-324,,,,,,,,,
,CFFO,,,,,,,,,208,274,290,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,140,171,168,,,,,,,,,
,FCF,,,,,,,,,68,103,122,172,,,,,,,,
