Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,Indication,MOA,Economics,Approved,IP,,Price EUR,27.86,
,Xarelto (rivaroxaban),VTE,Factor Xa,JNJ,,2025,,Shares,982.42,Q125
,Eylea (aflibercept),AMD,VEGF,REGN,,expired,,MC EUR,27370.2212,
,Mirena (intrauterine levonorgestrel),Birth Control,Hormone,1,2000-12-06 00:00:00,,,Cash EUR,0.0,Q125
,Kyleena/Jaydess (intrauterine levonorgestrel),Birth Control,Hormone,1,2016-09-16 00:00:00,,,Debt EUR,34255.0,Q125
,Adalat (nifedipine),HTN,CCB,,,,,EV EUR,61625.2212,
,Kogenate,,,,,,,,,
,Nubeqa (darolutamide)?,,,,,,,,,
,Kerendia (finerenone)?,,,,,,,CEO: Werner Baumann,,
,Adempas (vericiguat),,,,,,,,,
,Vitrakvi (larotrectinib),,,,,,,,,
,Xofigo,,,,,,,,,
,Jivi,,,,,,,,,
,Nexavar,,,,,,,,,
,Verquvo,,,,,,,,,
,Stivarga,,,,,,,,,
,,,,,Phase,,,,,
,copanlisib,NHL,PI3K,,III,,,,,
,elinzanetant,Vasomotor Symptoms,NK1/3 antagonist,,III,,,,,
,AB-1005,Parkinson's,AAV2-GDNF,,I,,,,,
,ACTUS-101,Pompe,,,I,,,,,
,AB-1002,CHF,,,I,,,,,
,AB-1005,MSA,AAV2-GDNF,,I,,,,,
,bemdaneprocel,Parkinson's,,,I,,,,,
,BV-101,Huntington's,gene therapy,,I,,,,,
,LION-101,LGMD 2I/R9,gene therapy,,I,,,,,
,adrenomedullin,ARDS,PEG-ADM,,I,,,,,
,asundexian,MACE,FXIa inhibitor,,II,,,,,
,gadoquatrane,MRI,contrast agent,,II,,,,,
,BAY 2395840,Neuropathic pain,BDKRB1 antagonist,,II,,,,,
,runcaciguat,CKD,sGC activator,,II,,,,,
,zabedosertib,Atopic Dermatitis,IRAK4,,II,,,,,
