Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0
,Kerendia,,,,,,,,,11,,,,52,67,,,,115,,,,,,,,,,,,,,11.0,,,,,,,
,Betaferon,,,,,,80,75,,83,75,76,,57,,,,,,,,,,,,,,,,,,,234.0,,,,,,,
,Nexavar,,,,,,110,113,91,,83,56,46,,,,,,,,,,,,,,,,,,,,185.0,,,,,,,
,Nubeqa,,,,,,49,57,69,76,105,127,158,178,201,,,285,380,,,515,,,,,,,,,,,466.0,,,,,,,
,Ultravist,,,,,,90,90,97,105,112,118,101,118,124,,,114,122,,,134,,,,,,,,,,,436.0,,,,,,,
,CT Fluid,,,,,,111,115,120,117,118,120,139,124,125,,,134,139,,,144,,,,,,,,,,,494.0,,,,,,,
,Gadovist,,,,,,104,102,112,108,128,127,106,118,115,,,105,108,,,105,,,,,,,,,,,469.0,,,,,,,
,Stivarga,,,,,,112,124,120,144,155,159,155,133,145,,,112,125,,,98,,,,,,,,,,,613.0,,,,,,,
,Adempas,,,,,,140,142,328,153,162,168,169,152,164,,,171,181,,,183,,,,,,,,,,,652.0,,,,,,,
,Aspirin Cardio,,,,,,159,165,170,187,201,199,201,181,131,,,151,160,,,189,,,,,,,,,,,788.0,,,,,,,
,Yaz/Yasmin/Yasminelle,,,,,,191,186,178,198,212,196,184,152,180,,,165,168,,,187,,,,,,,,,,,790.0,,,,,,,
,Kogenate/Kovaltry/Jivi,,,,,,211,208,219,208,212,221,206,192,192,,,167,180,,,158,,,,,,,,,,,847.0,,,,,,,
,Adalat,,,,,,174,207,207,239,212,232,148,177,144,,,127,112,,,145,,,,,,,,,,,831.0,,,,,,,
,Mirena/Kyleena/Jaydess,,,,,,293,276,282,295,306,377,299,303,296,,,293,322,,,352,,,,,,,,,,,1277.0,,,,,,,
,Eylea,,,,,,711,763,773,774,807,811,821,789,814,,,782,843,,,815,,,,,,,,,,,3213.0,,,,,,,
,Xarelto,,,,,,1164,1186,1247,1087,1113,1112,1204,943,1039,,,926,904,,,633,,,,,,,,,,,4516.0,,,,,,,
,Other Pharma,,,,,,,730,,839,817,856,918,738,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer,,,,,,1290,1346,1405,1512,1496,1548,1524,1573,1466,,,1432,1458,,,1499,,,,,,,,,,,6080.0,,,,,,,
,Pharma,,,,,,4494,4539,4951,4624,4818,4955,4855,4407,4557,,,4358,4605,,,4548,,,,,,,,,,,19252.0,,,,,,,
,Crop Science,,,,,,5021,3850,4690,8447,6461,4692,5569,8351,4924,,,7907,4981,,,7580,,,,,,,,,,,25169.0,,,,,,,
,Revenue,,,,,,10854,9781,11046,14639,12819,11281,11948,14389,10947,0,0,13697,11044,0,0,13627,0,0,0,,,,36742.0,43545.0,41400.0,44081.0,50501.0,,,,,,,
,COGS,,,,,,4546,3887,,5176,5680,4247,,5733,,,,5463,,,,5625,,,,,,,,,,16816.0,19871.0,,,,,,,
,Gross Profit,,,,,,6308,5894,,9463,7139,7034,,8656,,,,8234,11044,0,0,8002,,,,,,,,,,27265.0,30630.0,,,,,,,
,S&M,,,,,,2964,3015,,3284,3736,3358,,3394,,,,3245,,,,3159,,,,,,,,,,12363.0,14084.0,,,,,,,
,R&D,,,,,,1638,1564,,1454,1928,1576,,1571,,,,1426,,,,1458,,,,,,,,,,5412.0,6572.0,,,,,,,
,G&A,,,,,,783,751,,661,736,721,,658,,,,583,,,,548,,,,,,,,,,2962.0,2838.0,,,,,,,
,Operating Expenses,,,,,,5385,5330,,5399,6400,5655,,5623,,,,5254,0,0,0,5165,,,,,,,,,,20737.0,23494.0,,,,,,,
,Operating Income,,,,,,923,564,,4064,739,1379,,3033,,,,2980,11044,0,0,2837,,,,,,,,,,6528.0,7136.0,,,,,,,
,Interest,,,,,,-653,,,-322,-201,,,-390,,,,-492,,,,-487,,,,,,,,,,-4531.0,-2554.0,,,,,,,
,Pretax,,,,,,270,,,3742,538,1379,,2643,,,,2488,11044,0,0,2350,,,,,,,,,,1997.0,4582.0,,,,,,,
,Taxes+MI,,,,,,243,,,431,59,,,428,,,,526,,,,589,,,,,,,,,,1024.0,504.0,,,,,,,
,Net Income,,,,,,27,,,3311,479,1379,0,2215,,,,1962,11044,0,0,1761,,,,,,,,,,973.0,4078.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rev y/y,,,,,,,,,,,,,-0.01707766923970222,,,,,,,,,,,,,,,,0.18515595231615056,-0.04925938684119879,0.06475845410628023,0.14564097910664464,,,,,,,
,Adj rev y/y,,,,,,,,,,,,,-0.011,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5089.0,7093.0,,,,,,,
,CapEx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2611.0,2949.0,,,,,,,
,FCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.0,4144.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,,,,,100753,,,,101735,,,,,,,,,,,,,,,107894.0,103824.0,99538.0,99637.0,101369.0,,,,,,,
