Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0
,Delivery,,,,,,,,1096,,,,1039,,,,,,,,,,,,,3596.0,4101.0,4308.0,,,,,,,,,,,,,,,,,,,
,Management,,,,,,,,627,,,,706,,,,,,,,,,,,,2454.0,2432.0,2533.0,,,,,,,,,,,,,,,,,,,
,Pharma Systems,,,,,,,,397,,,,409,,,,,,,,,,,,,1587.0,1828.0,2001.0,,,,,,,,,,,,,,,,,,,
,Medical,,,,,,,,2120,,,,2154,,,,,,,,,,,,,7637.0,8361.0,8842.0,,,,,,,,,,,,,,,,,,,
,Diagnostics,,,,,,,,1145,,,,952,,,,,,,,,,,,,3532.0,5225.0,4185.0,,,,,,,,,,,,,,,,,,,
,Biosciences,,,,,,,,338,,,,349,,,,,,,,,,,,,1143.0,1305.0,1379.0,,,,,,,,,,,,,,,,,,,
,Life Sciences,,,,,,,,1483,,,,1301,,,,,,,,,,,,,4675.0,6530.0,5564.0,,,,,,,,,,,,,,,,,,,
,Surgery,,,,,,,,361,,,,363,,,,,,,,,,,,,1121.0,1296.0,1400.0,,,,,,,,,,,,,,,,,,,
,Peripheral,,,,,,,,413,,,,433,,,,,,,,,,,,,1511.0,1711.0,1759.0,,,,,,,,,,,,,,,,,,,
,Urology/CC,,,,,,,,340,,,,333,,,,,,,,,,,,,1130.0,1232.0,1305.0,,,,,,,,,,,,,,,,,,,
,Interventional,,,,,,,,1114,,,,1129,,,,,,,,,,,,,3762.0,4239.0,4464.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,4607,,4718,,4641,,4586,,,,,,,,,,,,,16074.0,19130.0,18870.0,,,,,,,,,,,,,,,,,,,
,COGS,,,,,,2649,,2498,,2574,,2453,,,,,,,,,,,,,9276.0,10500.0,10393.0,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,1958,,2220,,2067,,2133,,,,,,,,,,,,,6798.0,8630.0,8477.0,,,,,,,,,,,,,,,,,,,
,S&A,,,,,,1200,,1185,,1149,,1187,,,,,,,,,,,,,4185.0,4719.0,4709.0,,,,,,,,,,,,,,,,,,,
,R&D,,,,,,330,,314,,315,,313,,,,,,,,,,,,,1039.0,1279.0,1256.0,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,,1530,,1499,,1464,,1500,,,,,,,,,,,,,5224.0,5998.0,5965.0,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,,428,,721,,603,,633,,,,,,,,,,,,,1574.0,2632.0,2512.0,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,,,,-26,,-92,,-126,,-104,,,,,,,,,,,,,-861.0,-762.0,-536.0,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,,402,,629,,477,,529,,,,,,,,,,,,,713.0,1870.0,1976.0,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,23,,55,,54,,-5,,,,,,,,,,,,,169.0,178.0,238.0,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,,379,,574,,423,,534,,,,,,,,,,,,,544.0,1692.0,1738.0,,,,,,,,,,,,,,,,,,,
,EPS,,,,,,,,2.001932178444003,,1.4831951257285223,,1.8809331155611986,,,,,,,,,,,,,,284.475952,283.35671,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,,286.723,,285.195112,,283.901642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,0.007380073800737907,,-0.027977956761339517,,,,,,,,,,,,,,0.19012069180042301,-0.013591217982226844,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,,,,,,,,,,,,,,,0.4229189996267264,0.4511238891792995,0.44923158452570217,,,,,,,,,,,,,,,,,,,
