Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0
,Salix,,,,581,,557,,583,499,558,,,,,,2074.0,2090.0,2250.0,,,,,,,,,,
,International,,,,261,,259,,290,265,276,,,,,,1166.0,988.0,1071.0,,,,,,,,,,
,Solta Medical,,,,99,,88,,103,88,102,,,,,,308.0,300.0,347.0,,,,,,,,,,
,Diversified,,,,256,,228,,259,202,251,,,,,,1121.0,978.0,943.0,,,,,,,,,,
,B&L,,,,1197,,1035,,1235,1054,1216,,,,,,3765.0,3768.0,4146.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sales,,,,2168,1922,2146,,2382,2129,2379,,,,,,,,,,,,,,,,,,
,Other,,,,25,22,21,,26,24,24,,,,,,,,,,,,,,,,,,
,Revenue,,,,2193,1944,2167,,2408,2153,2403,,,,,,8434.0,8124.0,8757.0,,,,,,,,,,
,COGS,,,,652,582,649,,705,640,719,,,,,,2394.0,2364.0,2559.0,,,,,,,,,,
,Gross Profit,,,,1541,1362,1518,,1703,1513,1684,,,,,,6040.0,5760.0,6198.0,,,,,,,,,,
,SG&A,,,,666,725,711,,766,794,832,,,,,,2624.0,2625.0,2917.0,,,,,,,,,,
,R&D,,,,142,143,156,,152,151,156,,,,,,465.0,529.0,604.0,,,,,,,,,,
,Operating Expenses,,,,808,868,867,,918,945,988,,,,,,3089.0,3154.0,3521.0,,,,,,,,,,
,Operating Income,,,,733,494,651,,785,568,696,,,,,,2951.0,2606.0,2677.0,,,,,,,,,,
,Interest Expense,,,,-330,-324,-319,,-384,-346,-362,,,,,,-1046.0,-1485.0,-1330.0,,,,,,,,,,
,Pretax Income,,,,403,170,332,,401,222,334,,,,,,1905.0,1121.0,1347.0,,,,,,,,,,
,Taxes,,,,53,73,52,,40,8,49,,,,,,-87.0,83.0,221.0,,,,,,,,,,
,Net Income,,,,350,97,280,,361,214,285,,,,,,1992.0,1038.0,1126.0,,,,,,,,,,
,EPS,,,,,,0.7627349496050122,,,,0.7698541329011346,,,,,,,,,,,,,,,,,,
,Shares,,,,,,367.1,,,,370.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,0.10890632210429163,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,0.700507614213198,,,,0.7007906783187682,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,360,,,,591,,,,,,1426.0,-728.0,1032.0,,,,,,,,,,
,CX,,,,,,75,,,,160,,,,,,-269.0,-218.0,-215.0,,,,,,,,,,
,FCF,,,,,,285,,,,431,,,,,,1157.0,-946.0,817.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Debt,,,,,,,,,,-21037,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,623,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,,2102,,,,,,,,,,,,,,,,,,
,Inventories,,,,,,,,,,1612,,,,,,,,,,,,,,,,,,
,Prepaids,,,,,,,,,,874,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,1738,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,17030,,,,,,,,,,,,,,,,,,
,DTA,,,,,,,,,,2187,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,,,,,329,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,26495,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,579,,,,,,,,,,,,,,,,,,
,AL,,,,,,,,,,3338,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,21660,,,,,,,,,,,,,,,,,,
,CoCo,,,,,,,,,,230,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,170,,,,,,,,,,,,,,,,,,
,ONCL,,,,,,,,,,745,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,-227,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,26495,,,,,,,,,,,,,,,,,,
