Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US,,,,,,169.411,166.554,,,169.838,176.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EU,,,,,,166.704,108.568,,,161.23,162.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LatAm,,,,,,42.248,38.958,,,89.911,60.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROW,,,,,,80.179,55.38,,,59.354,64.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vimizim,,,147.9,142.5,158.4,171.655,136.9,156.3,183,173.206,155.47,152.1,189.192,177.392,158.9,175.6,192.52,178.016,178,191,188,186.9168,186.9,200.55,,,,544.3,544.4,623.2550000000001,663.7760000000001,701.0840000000001,739.5360000000001,762.3668,792.861472,824.5759308800001,857.5589681152002,891.8613268398082,927.5357799134005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roctavian,,,,,,,,,,,0,0,0,0,0.8,2.7,0.849,7.432,7,11,11,12,13,14,,,,,,0.0,0.0,3.5,26.281,50.0,65.0,78.0,93.6,112.32,129.16799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naglazyme,,,76.3,119.7,107.3,118.813,71.2,83.1,128,115.783,99.506,100.5,123.021,90.103,108.9,98.3,105.629,132.049,132,110,114,132.049,132,110,,,,374.3,391.3,380.413,443.789,420.324,479.678,488.049,507.57096,527.8737984,548.9887503360001,570.94830034944,593.7862323634176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palynziq,,,46.1,49.6,54,58.935,60.7,63.8,54.9,61.643,66.206,72.3,62.352,74.868,78.9,87.8,75.709,88.291,91,100,93,97.12010000000001,100.10000000000001,110.00000000000001,,,,86.9,171.0,237.435,255.04900000000004,303.92,355.0,400.2201,420.231105,441.24266025000003,463.3047932625,486.47003292562505,510.7935345719063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kuvan,,,124.1,89,70.8,78.807,67.7,68.5,59.3,57.602,57.038,53.6,50.478,50.622,42.9,36.7,35.91,28.551,28,28,25,24,23,22,,,,463.4,457.7,285.807,227.54,180.7,120.461,94.0,84.60000000000001,76.14000000000001,68.52600000000001,61.67340000000001,55.506060000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brineura,,,25.4,35,27.3,30.332,32.9,37.4,36.2,37.725,37.793,42.6,39.144,38.058,41,43.6,39.047,45.309,37,48,40,45.309,37,48,,,,72.0,110.2,127.93200000000002,154.318,161.802,169.356,170.309,178.82445,187.76567250000002,197.15395612500004,207.01165393125004,217.36223662781254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Voxzogo,,,0,0,0,0,0.1,5.8,19.7,34.374,48.289,66.8,87.836,113.337,123.1,145.7,152.9,183.923,190,208,214,239.09990000000002,247,270.40000000000003,,,,0.0,0.0,5.8999999999999995,169.163,469.973,734.823,970.4999,999.614897,1029.6033439100001,1060.4914442273002,1092.3061875541193,1125.0753731807429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldurazyme,,,40.9,1.2,50,28.128,24.4,20.3,24.4,37.327,29.046,37.6,34.403,40.318,13.8,42.7,35.262,38.558,71,39,49,38.558,71,39,,,,97.8,130.1,122.82799999999999,128.373,131.221,183.82,197.558,203.48474,209.58928219999999,215.876960666,222.35326948598,229.02386757055942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Products,,,460.69999999999993,437,467.8,486.67,393.9,435.2,505.49999999999994,517.66,493.348,,,,,,,,,,,,,,,,,1638.6999999999998,1804.7,1783.5700000000002,2042.008,2372.5240000000003,2808.955,3133.0028,3252.1876239999997,3374.7906881400004,3505.5008727320005,3644.944171086223,3788.25108422784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Royalty,,,16.043,15.072,18.261,15.023,14.902,14.591,13.834,16.138,11.996,12.046,9.989,10.577,13.063,13.059,11.018,9.9,11.873,11.679,10.501,9.9,11.873,11.679,,,,43.005,54.594,62.777,54.014,46.688,44.47,43.953,43.953,43.953,43.953,43.953,43.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,476.74299999999994,452.072,486.06100000000004,501.69300000000004,408.80199999999996,449.791,519.334,533.798,505.344,537.546,596.4150000000001,595.275,581.3629999999999,646.159,648.844,712.0289999999999,745.873,746.679,744.501,784.9528,821.873,825.629,,,,1681.705,1859.294,1846.3470000000002,2096.022,2419.2120000000004,2853.4249999999997,3176.9558,3296.1406239999997,3418.7436881400004,3549.4538727320005,3688.897171086223,3832.2040842278398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,188.793,126.138,120.166,127.062,103.537,119.75,116.965,123.126,116.288,127.29,135.472,65.566,124.745,135.478,125.18,130.459,188.457,136.139,151.558,,,,,,,359.466,524.272,470.515,483.66900000000004,508.0345200000001,599.2192499999999,667.160718,692.1895310399999,717.9361745094001,745.38531327372,774.6684059281068,804.7628576878463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,287.94999999999993,325.93399999999997,365.89500000000004,374.63100000000003,305.265,330.041,402.3689999999999,410.672,389.056,410.25600000000003,460.9430000000001,529.709,456.61799999999994,510.681,523.664,581.5699999999999,557.416,610.54,592.943,,,,,,,1322.239,1335.022,1375.8320000000003,1612.3529999999998,1911.1774800000003,2254.20575,2509.795082,2603.9510929599996,2700.8075136306,2804.0685594582806,2914.228765158116,3027.4412265399933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,147.053,156.667,148.725,161.107,157.869,161.092,160.836,158.19,157.829,172.751,171.846,177.363,191.314,206.25,204.987,183.787,253.48,173.509,158.731,,,,,,,715.007,628.116,628.793,649.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,179.45,195.512,174.318,184.161,183.333,217.563,194.619,196.835,216.816,245.739,211.023,206.103,223.928,275.024,225.906,263.032,184.901,266.607,206.116,,,,,,,680.924,737.669,759.375,854.009,888.1693600000001,923.6961344000001,960.6439797760002,999.0697389670402,1039.0325285257218,1080.5938296667507,1123.8175828534208,1168.7702861675577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,326.503,352.179,323.043,345.26800000000003,341.202,378.655,355.45500000000004,355.025,374.645,418.49,382.869,383.466,415.24199999999996,481.274,430.89300000000003,446.81899999999996,438.381,440.116,364.847,,,,,,,1395.931,1365.7849999999999,1388.1680000000001,1503.615,888.1693600000001,923.6961344000001,960.6439797760002,999.0697389670402,1039.0325285257218,1080.5938296667507,1123.8175828534208,1168.7702861675577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
