Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Brand Name,Generic Name,Status,Indication,Mechanism,Approval,Results,Protocol,Dates,Economics,Competition
,Avapro (irbesartan),,,Hypertension,ARB,1997-09-30 00:00:00,,,,SNY,
,Sustiva (efavirenz),,,HIV,NNRTI,2002-02-01 00:00:00,,,,1,
,Reyataz (atazanavir),,,HIV,Protease Inhibitor,2003-06-20 00:00:00,,,,1,
,Ixempra (ixabepilone),,,mBC,Epothilone,2007-10-16 00:00:00,,,,1,
,Plavix (clopidogrel),Thrombosis,SNY,Oral,1997-11-17 00:00:00,Anticoagulant,"Prasugrel, AZD6140, SCH530348",2011-2012,,,
,Abilify (aripiprazole),Schizophrenia,65%/Otsuka,Oral,2002-11-15 00:00:00,Atypical Antipsychotic,"Zyprexa, Seroquel, Risperdal",2014-2015,,,
,Nulojix (belatacept),Organ transplant rejection,1,IV,2011-06-15 00:00:00,,,Protein,,,
,Onglyza (saxaglipitin),Type 2 Diabetes,AZN,Oral,2009-07-31 00:00:00,DPPIV inhibitor,,,,,
,,,,,,,,,,,
,milvexian,,,"VTE, DVT, AF, ACS",,FXIa inhibitor,,,,,
,BMS-767778,,Discontinued,Type 2 Diabetes,DPPIV inhibitor?,I,,,,,
,BMS-562086,pexacerfont,Discontinued - No Longer in Pipeline as of 7/19/12,Generalized Anxiety Disorder,CRF-1 antagonist,II/III,Failed,,,,
,BMS-562086,pexacerfont,Discontinued - No Longer in Pipeline as of 7/19/12,Irritable Bowel Syndrome,CRF-1 antagonist,II,,,,,
,BMS-562086,pexacerfont,Discontinued - No Longer in Pipeline as of 7/19/12,Major Depressive Disorder,CRF-1 antagonist,I/II,,,,,
,KOS-1022,alvespimycin,Discontinued????,Breast Cancer,,II,Study Terminated,n=4,2008,,
,Eliquis,apixiban,"Filed at FDA, CRL",DVT/PE,Factor Xa inhibitor,III,Ongoing,n=4816 placebo-controlled,2008-2013,,
,Eliquis,apixiban,"Filed at FDA, CRL",Acute Coronary Syndrome,Factor Xa inhibitor,II,Unclear,n=1715 placebo-controlled,2006-2008,,
,Eliquis,apixiban,"Filed at FDA, CRL","Acute Medical Illness ""ADOPT""",Factor Xa inhibitor,III,Unclear,n=6524 vs. enox,2007-2011,,
,BMS-824393,,Study Withdrawn,Hepatitis C,,II,Terminated?,n=0 versus peg/ribavirin,2010,,
,BMS-779788,,Completed,Unknown/Atherosclerosis,Unknown,I,Unknown,MAD,2009,,
,BMS-833923/XL139,,Ongoing,Gastric Cancers,Smoothened/Hedgehog,I,Forthcoming,n=36 combo chemo,2009-2012,Exelixis,
,BMS-936558,,Ongoing,NSCLC,PD1,I,Forthcoming,n=108 Gem+Cis,2011-2013,Ono,
,BMS-936558,,Ongoing,Melanoma,PD1,I,Forthcoming,n=0,2011-2013,Ono,
,BMS-823778,,Ongoing,"Hypertension, Obesity, Dyslipidemia",Unknown,II,Forthcoming,n=271 vs placebo,2012-2013,,
,BMS-582664,brivanib,Terminated,Cancers,VEGFR2,III,Failed,,,,
