Main,Unnamed: 1,Unnamed: 2
,Brand Name,Plavix
,Generic Name,clopidogrel
,Indication,"Antithrombotic mostly used in patients with heart attack, stroke, PAD or in conjunction with stenting. Chronic use for prevention of chronic heart disease."
,,  Aspirin inhibits the thromboxane-A synthase pathway. Plavix inhibits adenosine diphosphate (ADP).
,Mechanism,"Antiplatelet that inhibits the aggregation of platelets, suppressing the formation of blood clots."
,Market,Drug-eluting stent panic may increase duration of Plavix use.
,Competition,Prasugrel.
,IP,expires 5/17/2012
,,  European at-risk filer Schweizerhall -- Germany -- different salt form.
,,Bristol and Plavix innovator Sanofi-Aventis vs. Apotex (private Candian co) and Dr. Reddy's Labs
,,"Patent 4,847,265 in question. SNY has said additional Orange Book patents irrelevant"
,,Is Plavix novel? (validity)
,,Was the patent appropriately acquired? (enforceability)
,,"Racemic mix patent (4,529,596)"
,,Single isomer patent ('265)
,,Single isomer acts differently from '596.
,,"No prior art kept from patent examiner, so inequitable conduct argument is weak."
,,Single isomer precedents?
,,Levaquin upheld vs. Mylan
,,Judge Stein ruled against Purdue and for Endo before--but Endo waited for launch because the case wasn’t clear--treble damages.
,,Same thing could happen here. FDA definition of when the 180-day window starts will confuse this further.
,,Case began 1/22/2007. '265 patent likely valid & enforceable - comments from Judge Stein
,Clinical Trials,
,,CURRENT OASIS 7
,,"n=18,000 High dose vs low dose Plavix."
