Main,Unnamed: 1,Unnamed: 2
,Brand Name,
,Generic Name,ipilimumab
,Mechanism,CTLA4 antibody
,Indication,2L melanoma
,Economics,MEDX
,Clinical Trials,
,,Phase III
,,
,,
,,"Phase III comparing gp100, ipi+gp100 vs ipi alone"
,,"Ipi-alone and Ipi+gp100 both S.S. vs. gp100 (HR=0.66, 0.68). 10.0, 10.1 and 6.4 months for Ipi, ipi+gp100 and gp100."
,,
,,"Phase I/II mixed leukemias/lymphomas n=17 single-dose, dose-escalation"
,,"1 NHL patient had ongoing CR, 1 MCL with PR"
,,
,,Phase I/II relapsed/refractory follicular lymphoma n=12
,,1 patient with a PR
