Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
,EUR (m),Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035,
,,,,0.9303354743934696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comirnaty (PFE),,,,154,3462,7838,12977,12504,13227,8848,4402,11329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commercial,,,,280,2027.5,5280.5,6040.1,5525.9,6362.2,3166.3,3394.8,5664.5,,,885,,,,1113.9,,,,,,,18874.0,18587.8,9293.9,8364.51,4182.255,2091.1275,1045.56375,522.781875,261.3909375,130.69546875,65.347734375,32.6738671875,16.33693359375,8.168466796875,,
,R&D,,,,65.4,20.9,28,47.2,6.6,12.4,30.2,66.4,28.900000000000002,,,10.3,,,,130.9,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,345.4,2048.4,5308.5,6087.3,5532.5,6374.599999999999,3196.5,3461.2000000000003,5693.4,,,895.3,,,,1244.8000000000002,,,,,,,,,9293.9,8364.51,4182.255,2091.1275,1045.56375,522.781875,261.3909375,130.69546875,65.347734375,32.6738671875,16.33693359375,8.168466796875,,
,COGS,,,,41,233.1,883.8,1211.4,583.2,1294.1,764.6,752.8,,,,,,,,178.9,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,304.4,1815.3000000000002,4424.7,4875.9,4949.3,5080.5,2431.9,2708.4000000000005,,,,,,,,1065.9,,,,,,,,,7435.12,6691.608,3345.804,1672.902,836.451,418.2255,209.11275,104.556375,52.2781875,26.13909375,13.069546875,6.5347734375,,
,R&D,,,,257,216.2,201.1,260.4,271.5,285.8,399.6,341.8,,,,,,,,550.3,,,,,,,,,,,,,,,,,,,,,,
,S&M,,,,6.7,8.7,13.3,10.5,17.9,14.3,17.8,12.8,,,,,,,,18.1,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,35.9,38.9,47.8,68.2,130.9,90.8,130,141,,,,,,,,132.4,,,,,,,,,300.0,300.0,300.0,300.0,200.0,200.0,100.0,,,,,,,
,OpEx,,,,299.59999999999997,263.79999999999995,262.2,339.09999999999997,420.29999999999995,390.90000000000003,547.4000000000001,495.6,,,,,,,,700.8,,,,,,,,,300.0,300.0,300.0,300.0,200.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,,
,OpInc,,,,4.800000000000011,1551.5000000000002,4162.5,4536.799999999999,4529,4689.6,1884.5,2212.8000000000006,,,,,,,,365.10000000000014,,,,,,,,,7135.12,6391.608,3045.804,1372.902,636.451,218.2255,109.11275,104.556375,52.2781875,26.13909375,13.069546875,6.5347734375,,
,Interest,,,,200.8,90.8,-139.7,130.59999999999997,184.90000000000003,328.5,434.79999999999995,231.29999999999998,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,
