Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
,,,2022-07-31 00:00:00,2022-10-31 00:00:00,2023-01-31 00:00:00,2023-04-30 00:00:00,2023-07-31 00:00:00,2023-10-31 00:00:00,2024-01-31 00:00:00,2024-04-30 00:00:00,2024-07-31 00:00:00,2024-10-31 00:00:00,,,,,2021-01-31 00:00:00,2022-01-31 00:00:00,2023-01-31 00:00:00,2024-01-31 00:00:00,2025-01-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2020.0,2021,2022,2023,2024,2025,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033,2034.0,2035.0,2036.0,2037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,77495,86131,93125,98675,101780,115107,123956,130957,135459,145499,148000,,,,,150191,238035,355426,471800,589750,707700.0,849240.0,976625.9999999999,1123119.8999999997,1235431.8899999997,1297203.4844999998,1362063.6587249998,1430166.8416612498,1501675.1837443123,1576758.942931528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,25906,27352,29135,33425,32687,35474,36374,42992,44548,43420,,,,,,54511,78511,115818,143942,171027.5,198156.0,237787.20000000007,263689.02,303242.3729999999,321212.2913999999,337272.90596999996,354136.5512684999,371843.37883192487,390435.54777352116,409957.32516219723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,51589,58779,63990,65250,69093,79633,87582,87965,90911,102079,,,,,,95680,159524,239608,327858,418722.5,509544.0,611452.7999999999,712936.9799999999,819877.5269999998,914219.5985999998,959930.5785299998,1007927.1074564998,1058323.4628293249,1111239.635970791,1166801.6177693307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,46044,50007,52841,52792,57262,60417,66395,63051,69827,68569,,,,,,70661,127137,201684,215927,215927,226723.35,238059.51750000002,240440.112675,242844.51380175,245272.9589397675,247725.68852916517,250202.94541445683,252704.9748686014,255232.02461728742,257784.34486346028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,21260,23336,25583,26754,29745,29132,29872,31114,34373,33141,,,,,,29212,59034,97293,80901,80901,83328.03,85827.8709,86686.149609,87553.01110509,88428.5412161409,89312.82662830231,90205.95489458533,91108.01444353118,92019.0945879665,92939.28553384617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,23574,20543,22430,22224,23983,25453,26448,26093,26791,28319,,,,,,27959,51564,88771,78545,78545,80901.35,83328.39050000001,84161.67440500001,85003.29114905001,85853.32406054052,86711.85730114592,87578.97587415739,88454.76563289897,89339.31328922795,90232.70642212023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,90878,93886,100854,101770,110990,115002,122715,120258,130991,130029,,,,,,127832,237735,387748,375373,375373,390952.73,407215.77890000003,411287.936689,415400.81605589,419554.82421644893,423750.37245861336,427987.8761831996,432267.75494503154,436590.43249448185,440956.3368194267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,-39289,-35107,-36864,-36520,-41897,-35369,-35133,-32293,-40080,-27950,,,,,,-32152,-78211,-148140,-47515,43349.5,118591.27000000002,204237.0210999999,301649.04331099987,404476.7109441098,494664.77438355086,536180.2060713865,579939.2312733002,626055.7078842933,674649.2034763093,725845.2809499041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,30,1729,2581,3637,3459,3865,4542,4354,5171,5503,,,,,,720,-121,7977,16220,16220,16220.0,16220.0,16220.0,16220.0,16220.0,16220.0,16220.0,16220,16220.0,16220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
