Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422
,Pharma,,,,,,,74,36,13,,,,,,,
,Endoscopy,,,,,,,475,515,499,551,533,558,531,560,,
,Urology & Pelvic,,,,,,,350,376,361,397,384,441,413,450,,
,Neuromodulation,,,,,,,216,232,198,247,221,244,209,239,,
,Cardiology,,,,,,,1127,1121,1248,1410,1342,1422,1407,1517,,
,Peripheral,,,,,,,416,429,433,473,452,462,465,478,,
,Revenue,,,,,,,2658,2709,2752,3078,2932,3127,3025,3244,,
,COGS,,,,,,,818,951,855,982,900,910,900,1062,,
,Gross Profit,,,,,,,1840,1758,1897,2096,2032,2217,2125,2182,,
,SG&A,,,,,,,984,1027,1019,1121,1066,1153,1060,1165,,
,R&D,,,,,,,315,286,276,298,310,320,319,335,,
,OpEx,,,,,,,1299,1313,1295,1419,1376,1473,1379,1500,,
,OpInc,,,,,,,541,445,602,677,656,744,746,682,,
,Interest,,,,,,,-99,-121,-57,-86,109,-72,-128,-89,,
,Pretax,,,,,,,442,324,545,591,765,672,618,593,,
,Taxes,,,,,,,86,110,-2,51,78,40,59,99,,
,Net Income,,,,,,,356,214,547,540,687,632,559,494,,
,EPS,,,,,,,0.2487944650220141,0.1495666759854627,0.38230360637405647,0.3769633507853403,0.4785455558651435,0.44005013229355244,0.3886262513904338,0.3435804701627487,,
,Shares,,,,,,,1430.9,1430.8,1430.8,1432.5,1435.6,1436.2,1438.4,1437.8,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,0.10308502633559069,0.15430047988187523,0.09920058139534893,0.053931124106562756,,
,Gross Margin,,,,,,,0.6922498118886381,0.6489479512735327,0.6893168604651163,0.6809616634178037,0.6930422919508867,0.7089862488007675,0.7024793388429752,0.6726263871763255,,
,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,,,,-8696,,
,Cash,,,,,,,,,,,,,,276,,
,AR,,,,,,,,,,,,,,1917,,
,Inventories,,,,,,,,,,,,,,1752,,
,Prepaids,,,,,,,,,,,,,,264,,
,OCA,,,,,,,,,,,,,,874,,
,PP&E,,,,,,,,,,,,,,2246,,
,Goodwill,,,,,,,,,,,,,,19232,,
,DTA,,,,,,,,,,,,,,4059,,
,OLTA,,,,,,,,,,,,,,1569,,
,Assets,,,,,,,,,,,,,,32189,,
,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,8972,,
,AP,,,,,,,,,,,,,,732,,
,AE,,,,,,,,,,,,,,2197,,
,OCL,,,,,,,,,,,,,,784,,
,DT,,,,,,,,,,,,,,265,,
,OLTL,,,,,,,,,,,,,,1988,,
,SE,,,,,,,,,,,,,,17251,,
,L+SE,,,,,,,,,,,,,,32189,,
