Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Name,Capital,Ending,MOIC,Net IRR,Starting Date,Ending Date
,Pre-BREP,140.714,345.19,2.453131884531745,0.33,,
,BREP I,380.708,1327.708,2.8,0.4,1994-09-01 00:00:00,1996-10-01 00:00:00
,BREP II,1198.339,2531.614,2.1126025273315814,0.19,1996-10-01 00:00:00,1999-03-01 00:00:00
,BREP III,1522.708,3330.406,2.4,0.21,1999-04-01 00:00:00,2003-04-01 00:00:00
,BREP IV,2198.694,4684.608,1.7,0.12,2003-04-01 00:00:00,2005-12-01 00:00:00
,BREP V,5539.418,13470.159,2.3,0.11,2005-12-01 00:00:00,2007-02-01 00:00:00
,BREP VI,11060.122,27766.714,2.5,0.13,2007-02-01 00:00:00,2011-08-01 00:00:00
,BREP VII,13505.657,31265.32,2.2,0.14,2011-08-01 00:00:00,2015-04-01 00:00:00
,BREP VIII,16626.351,35190.812000000005,2.3,0.13,2015-04-01 00:00:00,2019-06-01 00:00:00
,BREP IX,21349.948,34898.532,2.2,0.1,2019-06-01 00:00:00,2022-08-01 00:00:00
,BREP X,30644.637,32605.265,1.2,0.08,2022-08-01 00:00:00,2028-02-01 00:00:00
,Total,104167.296,187416.32800000004,2.3,0.15,,
,,,,,,,
,BREP Intl,824.172,1373.17,2.1,0.23,2001-01-01 00:00:00,2005-09-01 00:00:00
,BREP Intl II,1629.748,2583.032,1.8,0.08,2005-09-01 00:00:00,2008-06-01 00:00:00
,BREP Europe III,3205.42,6393.263,2,0.13,2008-06-01 00:00:00,2013-09-01 00:00:00
,BREP Europe IV,6676.577,12310.548,1.7,0.12,2013-09-01 00:00:00,2016-12-01 00:00:00
,BREP Europe V,7997.397,11828.778999999999,1.5,0.07,2016-12-01 00:00:00,2019-10-01 00:00:00
,BREP Europe VI,9934.901,15016.128,1.4,0.11,2019-10-01 00:00:00,2023-09-01 00:00:00
,BREP Europe VII,8681.767,9006.593,1.2,-,2023-09-01 00:00:00,2029-03-01 00:00:00
,BREP Europe,38949.982,58511.513,2.3,0.11,,
