Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Acquiree,Acquirer,Consideration,Announce Date,Close Date,Notes,,,,,,
,SmithKline Beecham,Glaxo Wellcome,76000,2000,,Merger of equals (182B),,,,,,
,Celgene,BMY,74000,2019-01-03 00:00:00,,,,,,,,
,Wyeth,PFE,68000,2009-01-25 00:00:00,,,,,,,,
,Astra,Zeneca,67000,1999,,Merger of equals.,,,,,,
,Aventis,Sanofi,64000,2004-04-26 00:00:00,2004-04-26 00:00:00,,,,,,,
,Allergan,ABBV,63000,2019-06-25 00:00:00,,,,,,,,
,Monsanto,Bayer,63000,2018,,,,,,,,
,Ciba-Geigy,Sandoz,63000,1996,,Merger of equals to create Novartis.,,,,,,
,Shire,Takeda,62000,2019-01-08 00:00:00,2019-01-08 00:00:00,,,,,,,
,Pharmacia,PFE,60000,2002,,,,,,,,
,Genentech,Roche,47000,2019,,Acquired publicly traded minority stake.,,,,,,
,Seagen,SGEN,43000,2023,,,,,,,,
,Schering-Plough,MRK,41100,2009,,,,,,,,
,Actavis Generics,TEVA,40500,2015,,,,,,,,
,Alcon,Novartis,39000,2008,,Acquired 77% via Nestle,,,,,,
,Baxalta,Shire,32000,2016,,,,,,,,
,Actelion,J&J,30000,2017,,,,,,,,
,Horizon,AMGN,27800,2023,,,,,,,,
,Pharmacyclics,ABBV,21000,2015,2015,,,,,,,
,Immunomedics,Gilead,21000,,,,,,,,,
,Genzyme,Sanofi,20100,2011-02-16 00:00:00,,,,,,,,
,Hospira,Pfizer,17000,2015-02-01 00:00:00,2015-09-03 00:00:00,,,,,,,
,Immunex,AMGN,16000,2001-12-14 00:00:00,2002-07-12 00:00:00,,,,,,,
,MedImmune,AZN,15600,2007-04-24 00:00:00,2007-04-24 00:00:00,,,,,,,
,Salix,Valeant,14500,2015-02-23 00:00:00,,,,,,,,
,Medivation,Pfizer,14000,2016,,,,,,,,
,Karuna,BMY,12700,2023,,,,,,,,
,Kite,Gilead,11900,2017,,,,,,,,
,Vifor,CSL,11700,2021,,,,,,,,
,Biohaven,Pfizer,11600,2022,,,,,,,,
,Bioverativ,Sanofi,11600,2018-01-22 00:00:00,,,,,,,,
,Array,Pfizer,11400,2019-06-17 00:00:00,,,,,,,,
,Pharmasset,Gilead,11000,2011,,,,,,,,
,Immunogen,ABBV,10100,2023-11-30 00:00:00,,,,,,,,
,The Medicines Company,NVS,9700,2019,,,,,,,,
,Juno,Celgene,9000,2018,,,,,,,,
,AveXis,NVS,8700,2018,,,,,,,,
,Cerevel,ABBV,8700,,2024-08-01 00:00:00,,,,,,,
,Bausch & Lomb,Valeant,8700,2013-05-27 00:00:00,,,,,,,,
,Cubist,MRK,8400,2014,,,,,,,,
,Daiichi,Sankyo,7700,2005,,Merger of equals.,,,,,,
,Fujisawa,Yamanouchi,7600,2004,,Combination renamed Astellas.,,,,,,
,GW Pharmaceuticals,Jazz,7200,2021,,,,,,,,
,Cephalon,TEVA,6800,2011,,,,,,,,
,Arena,Pfizer,6700,2021-12-13 00:00:00,,,,,,,,
,ImClone,Lilly,6500,2008,,Bristol also made an offer.,,,,,,
,IDEC,Biogen,5800,2003,,,,,,,,
,Global Blood,Pfizer,5400,,2022-10-06 00:00:00,,,,,,,
,Chiron,Novartis,5100,2005,,Owned 40% or so,,,,,,
,Centocor,J&J,4900,1999,,,,,,,,
,Mirati,MRTX,4800,2023-10-08 00:00:00,,,,,,,,
,Ablynx,Sanofi,4800,2018-01-29 00:00:00,,,,,,,,
,Cymabay,Gilead,4300,2024,,,,,,,,
,Turning Point,TPTX,4100,2022-06-03 00:00:00,,,,,,,,
,OSI Pharmaceuticals,Astellas,4000,2010,,,,,,,,
,Idenix,MRK,3850,2014,,Novartis spin-out? They owned 22% at acquisition.,,,,,,
,ChemoCentryx,AMGN,3700,2022-08-04 00:00:00,,,,,,,,
,Myogen,Gilead,2500,2006,,,,,,,,
,Medarex,BMY,2400,,2009-09-01 00:00:00,,,,,,,
,Scios,J&J,2400,2003,,,,,,,,
,ICOS,Lilly,2300,2006,,,,,,,,
,Genentech,Roche,2100,1990,,Acquired 56% stake,,,,,,
,Icos,Lilly,2100,2006,,,,,,,,
,Imago (IMGO),MRK,1350,2022-11-21 00:00:00,,,,,,,,
,Cougar,J&J,1000,2009-05-22 00:00:00,,,,,,,,
,Aiolos,GSK,1000,2024-01-09 00:00:00,,,,,,,,
,Aerie,Alcon,770,2022-08-23 00:00:00,,,,,,,,
,Sugen,Pharmacia,650,1999,,,,,,,,
,MiroBio,Gilead,405,2022-08-04 00:00:00,,,,,,,,
,DJS Antibodies,ABBV,,,,,,,,,,
,Vividion,Bayer,,2021,,,,,,,,
,AskBio,Bayer,,2020,,,,,,,,
,BlueRock,Bayer,,2019,,,,,,,,
,WuXi Biologics,2269 HK,44.85,24515.28782275,991.7151282051283,23523.572694544873,Q222,4263.528317,2023-06-09 00:00:00,,,
,Evotec,EVO,12.2,,,,,,,,,
,Reata,RETA,92.93,3490,,,,,,,,
,Provention,PRVB,23.01,2080,,,,,,,,
,Iveric,ISEE,14.86,2880,,,,,,,,
,EQRx,EQRX,2.15,1050,,,,,,,,
,Intercept,ICPT,,,,,,,,,,
,Chinook,KDNY,,,,,,,,,,
,Jnana,Otsuka,,,,,,,,,,
,Elan,,,,,,,,,,,
,ID Biomedical,GSK,,,,,,,,,,
,Corixa,GSK,,,,,,,,,,
,Crucell,JNJ,,,,,,,,,,
,Bellus,GSK,,,,,,,,,,
,Savient,Horizon,,,,,,,,,,
,,Horizon,,,,,,,,,,
,Ciba,JR Geigy,,1970,,,,,,,,
,Ivax,,,,,,,,,,,
,HMR,,,,,,,,,,,
,Alza,,,,,,,,,,,
,Medicis,,,,,,,,,,,
,Forward Pharma,Biogen,,,,,,,,,,
,Hexal,Novartis,,,,,,,,,,
,Serono,Merck KgAA,,,,,,,,,,
,Zogenix,UCB,,,,,,,,,,
,Knoll,Abbott,7000,2001,,,,,,,,
,Pharmion,Celgene,2900,,,,,,,,,
,Deciphera,Ono,2500,,,,,,,,,
,Five Prime,AMGN,1600,2021,,,,,,,,
,Cambridge Antibody Technology,AstraZeneca,1300,2006,,,,,,,,
,Teneobio,AMGN,993,2021,,,,,,,,
,MyoKardia,BMY,,,,,,,,,,
,Tularik,AMGN,,,,,,,,,,
,Micromet,AMGN,,,,,,,,,,
,AGTC,Syncova,,,,,,,,,,
,Momenta,J&J,,,,,,,,,,
,Morphosys,Novartis,,,,,,,,,,
,Morphic,Lilly,,2024-08-16 00:00:00,,,,,,,,
,Cempra,Melinta,,,,,,,,,,
,Domantis,GSK,,,,,,,,,,
,Aliada,ABBV,,,,,,,,,,
,Nimble,ABBV,,,,,,,,,,
,TARIS Biomedical,J&J,,,,,,,,,,
,Peloton Therapeutics,MRK,,,,,,,,,,
,Intra-Cellular,ITCI,131,13842.367175000001,1024.6570000000002,12817.710175,Q224,105.666925,2024-09-10 00:00:00,,,
