Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name,Founded,HQ,Round,Size,Investors,Date,Notes,Valuation
,Altos,,,Series A,3000,"ARCH, Bezos",,,
,ElevateBio,,,Series D,401,"Matrix, Softbank, Surveyor, Redmile, Novo Nordisk, Fidelity, EcoR1, Samsara",2023-05-24 00:00:00,,
,Insitro,2018,"South San Francisco, CA",Series C,400,,,,
,Areteia Therapeutics,,,Series A,350,"Bain, Saturn",2022-07-12 00:00:00,,
,Tessera Therapeutics,2018,,Series C,300,Softbank,,,1700
,Metsera,,,Series A,290,"ARCH, SoftBank",2024-04-18 00:00:00,,
,ArsenalBio,,,Series B,221,Softbank,2022-04-19 00:00:00,,
,XtalPi,,,,,,,,
,Biosplice Therapeutics,,,,,,,,
,Abogen Biosciences,2019,,,,,,Chinese RNA,
,Mojave Pharma,,,,,,,,
,Laronde,,,,,,,,
,Kallyope,,,,,,,,
,Kriya Therapeutics,,,Series C,270,Patient Square Capital,2022-05-16 00:00:00,,
,Genor Biopharma,,,,,,,,
,Insilico Medicine,,,Series C,259,,,,
,Metis Pharmaceuticals,2020,,Series B,150,,2022-04-06 00:00:00,Chinese,
,Generate Biomedicines,,,,,,,,
,Affinia Therapeutics,,,Series B,110,,,,
,RayzeBio,2018,,Series D,160,"Sofinnova, Viking, Wellington",2022-09-13 00:00:00,Radiopharma,
,RayzeBio,2018,,Series C,108,Venrock,2021-06-15 00:00:00,,
,RayzeBio,2018,,Series B,105,Venrock,2020-12-08 00:00:00,,
,RayzeBio,2018,,Series A,45,"venBio, Versant",2020-10-14 00:00:00,,
,,,,,,,,,
,FogPharma,,,Series E,145,"Nextech, venBio",2024-03-01 00:00:00,,
,FogPharma,,,Series D,178,"Zhejiang, venBio, T Rowe, Invus",2022-11-21 00:00:00,,
,FogPharma,,,Series C,107,,,Beta-Catenin,
,,,,,,,,,
,Ventus Therapeutics,,,Series C,140,"Softbank, RA",2022-02-09 00:00:00,,
,Merida Biosciences,,,Series A,121,"Bain, BVF, Third Rock",2025-04-09 00:00:00,,
,Comanche Biopharma,,,Series B,75,NEA,2024-01-17 00:00:00,,
,Accent Therapeutics,,,Series C,75,Mirae,2024-01-23 00:00:00,,
,Alumis,,,,,,,,
,Odyssey Therapeutics,,,,,,,,
,Maze Therapeutics,,,,,,,,
,TauRx Pharmaceuticals,,,,,,,,
,Vividion Therapeutics,,,,,,,,
,Tizona Therapeutics,,,,,,,,
,Charm Therapeutics,2021,,,20,,2023-04-14 00:00:00,,
,Pathos,2020,,,20,,2023-03-02 00:00:00,,
,,,,,,,,,
,Encoded Therapeutics,2014,,Series D,135,"Google, Matrix, ARCH, Illumina, RTW, Boxer, Nolan Capital",2020-07-22 00:00:00,,
,Encoded Therapeutics,2014,,Series C,104,"Venrock, ARCH, Matrix, Illumina",2019-06-26 00:00:00,,
,,,,,,,,,
,Aqemia,,,,,,,,
,Mindrank,2020-12-23 00:00:00,,,19,,2021-12-15 00:00:00,,
