Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Name,Indication,MOA,,,,,,,,Price,4.5,
,CAN-2409,"NSCLC, mPC",adenovirus,,,,,,,,Shares,32.475537,Q324
,CAN-3110,,HSD-based,,,,,,,,MC,146.13991650000003,
,,,,,,,,,,,Cash,16.823999999999998,Q324
,,,,,,,,,,,Debt,14.916,Q324
,,,,,,,,,,,EV,144.2319165,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,PIC,163.001,Q324
,,,,,,,,,,,AD,178.132,Q324
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,Founded,2003 as Advantagene,
