Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,2022-07-10 00:00:00,2022-10-02 00:00:00,2022-12-25 00:00:00,2023-04-16 00:00:00,2023-07-09 00:00:00,2023-10-01 00:00:00,2023-12-31 00:00:00,2024-04-21 00:00:00,2024-07-14 00:00:00,2024-09-30 00:00:00,2024-12-30 00:00:00,2025-04-21 00:00:00,2025-07-14 00:00:00,2025-09-30 00:00:00,2025-12-30 00:00:00,,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,,,,,,,,,
,,Q2222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2021,2022,2023,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0
,Stores,,,,,,,,,,,,,,,,,,237,309,409.0,559.0,759.0,959.0,1159.0,1359.0,1559.0,1759.0,1959.0
,,,,,,,,,,,,,,,,,,,2.3802489451476796,2.3582524271844663,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,135.915,139.258,129.935,203.083,172.894,175.553,177.17,259.006,233.495,228.2189,230.321,,280.615,,,,500.072,564.119,728.7,965.2399999999999,1319.24,1791.24,2263.24,2735.24,3207.24,3679.24,4151.24,4623.24
,Food,43.741,44.617,40.726,59.118,51,51.818,51.522,73.947,68.839,,,,82.95,,,,154.772,179.988,213.458,,,,,,,,,
,Labor,37.731,37.193,35.945,52.154,42.417,43.913,48.842,66.513,58.388,,,,69.496,,,,143.395,157.891,187.326,,,,,,,,,
,Rent,12.214,12.302,12.413,16.599,13.4,13.782,14.538,20.422,15.917,,,,18.791,,,,49.299,53.669,58.319,,,,,,,,,
,Other,16.624,18.738,17.024,24.648,20.646,21.553,22.404,32.758,27.991,,,,34.697,,,,70.453,74.587,89.251,,,,,,,,,
,COGS,110.31,112.85,106.10799999999999,152.519,127.46300000000001,131.066,137.306,193.64000000000001,171.135,,,0,205.934,,,,417.919,466.135,548.354,,,,,,,,,
,Gross Profit,25.60499999999999,26.408000000000015,23.827000000000012,50.56399999999999,45.431,44.486999999999995,39.863999999999976,65.36599999999996,62.360000000000014,63.901292000000005,64.48988,0,74.68100000000001,,,,82.15300000000002,97.98400000000004,180.346,250.96239999999997,369.38720000000006,537.372,724.2367999999999,929.9816,1154.6064,1398.1111999999998,1660.496,1941.7607999999998
,G&A,16.284,16.547,16.269,29.024,23.321,24.472,24.674,33.84,28.281,24.472,24.674,,32.051,,,,64.792,70.037,101.491,106.56555,111.8938275,117.48851887500001,123.36294481875002,129.53109205968752,136.0076466626719,142.8080289958055,149.9484304455958,157.4458519678756
,Operating Income,9.32099999999999,9.861000000000015,7.558000000000014,21.539999999999992,22.109999999999996,20.014999999999993,15.189999999999976,31.525999999999954,34.079000000000015,39.429292000000004,39.81588,0,42.63000000000001,,,,17.36100000000002,27.94700000000003,78.855,144.39684999999997,257.4933725000001,419.88348112499995,600.8738551812498,800.4505079403125,1018.5987533373279,1255.3031710041944,1510.5475695544044,1784.3149480321242
,Interest,0.164,0.303,0.49,0.149,0.817,4.076,4.281000000000001,4.992,3.884,3.884,3.884,,,,,,-4.81,-0.047,8.852,,,,,,,,,
,Pretax Income,9.48499999999999,10.164000000000016,8.048000000000014,21.688999999999993,22.926999999999996,24.090999999999994,19.470999999999975,36.51799999999995,37.963000000000015,43.313292000000004,43.69988,0,42.63000000000001,,,,12.55100000000002,27.90000000000003,87.70700000000001,144.39684999999997,257.4933725000001,419.88348112499995,600.8738551812498,800.4505079403125,1018.5987533373279,1255.3031710041944,1510.5475695544044,1784.3149480321242
,Taxes,0.056,0.029,0.026,0.038,0.04,0.038,0.652,0.252,0.287,4.331329200000001,4.369988,,,,,,0.117,0.093,0.768,14.439684999999997,25.74933725000001,41.9883481125,60.08738551812499,120.06757619104687,152.7898130005992,188.29547565062916,302.1095139108809,356.8629896064249
,Net Income,9.428999999999991,10.135000000000016,8.022000000000014,21.650999999999993,22.886999999999997,24.052999999999994,18.818999999999974,36.26599999999995,37.676000000000016,38.981962800000005,39.329892,0,42.63000000000001,,,,12.434000000000019,27.80700000000003,86.93900000000001,129.95716499999997,231.74403525000008,377.89513301249997,540.7864696631249,680.3829317492656,865.8089403367287,1067.0076953535652,1208.4380556435235,1427.4519584256993
,EPS,7.132375189107406,7.637528259231361,5.838427947598263,13.145719489981781,0.7317049777806195,0.2043359696889893,0.16050319829424284,0.3075057658390987,0.3185026756050758,0.32954293056952777,0.3324842295694516,0,0.3602514915408928,,,,,,,,,,,,,,,
,Shares,1.322,1.327,1.374,1.647,31.279,117.713,117.25,117.936,118.291,118.291,118.291,118.291,118.334,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.2720744583011443,0.2606313461345129,0.36352791780505633,0.2753701688472199,0.35050956077133955,0.30000000000000004,0.30000000000000004,-1,0.20180303646759024,,,,,0.1280755571197747,0.2917487267757335,0.32460546178125416,0.36674816625916895,0.35778175313059024,0.26350461133069825,0.20855057351407713,0.17256255392579822,0.14716703458425306,0.12828736369467597,0.11370096645821492
,Gross Margin,0.18838980245006062,0.18963362966580027,0.18337630353638368,0.24898194334336204,0.2627679387370296,0.2534106509145386,0.2250042332223287,0.25237253191045755,0.2670721000449689,0.28,0.28,,0.26613331432745935,,,,0.1642823433425587,0.17369384828378415,0.24749005077535335,0.26,0.28,0.3,0.32,0.34,0.36,0.37999999999999995,0.4,0.42
,Operating Margin,,,,,,,,,,,,,,,,,0.03471700075189176,0.04954096564731915,0.10821325648414985,0.1495968360200572,0.19518311489948764,0.2344093930042875,0.26549276929589877,0.29264361004530226,0.31759355499972813,0.3411854543341001,0.363878640973397,0.38594469420409155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,25.679,47.11,,,38.386,87.295,,,,,,,,3.393,6.038,97.101,,,,,,,,,
,CapEx,,,,39.097,72.478,,,33.687,59.882,,,,,,,,56.309,104.161,168.806,,,,,,,,,
,FCF,,,,-13.418000000000003,-25.367999999999995,,,4.699000000000005,27.413000000000004,,,,,,,,-52.916,-98.123,-71.70500000000001,,,,,,,,,
