Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,2022.0,2023.0,2024.0
,Premiums,40360.0,45712.0,49846.0
,Investment,2657.0,4330.0,6047.0
,Gains,80.0,-307.0,-140.0
,Revenue,43097.0,49735.0,55753.0
,Losses,22572.0,24100.0,26022.0
,Policy acquisition,2314.0,3628.0,4714.0
,G&A,7339.0,4007.0,4380.0
,Operating Expenses,32225.0,31735.0,35116.0
,Operating Income,10872.0,18000.0,20637.0
,Interest Expense,570.0,672.0,741.0
,Pretax Income,10302.0,17328.0,19896.0
,Taxes,1239.0,511.0,1815.0
,Net Income,9063.0,16817.0,18081.0
,,,,
,,,,
,Net Cash,,,5349.0
,Cash,,,153199.0
,Lending Collateral,,,1445.0
,Accrued Income,,,1160.0
,Insurance Receivables,,,14426.0
,Reinsurance Recoverable,,,20066.0
,Deferred PAC,,,8358.0
,Goodwill,,,29179.0
,DTA,,,1603.0
,Prepaid Reinsurance Premiums,,,3378.0
,Separate Account Assets,,,6231.0
,Other,,,7503.0
,Assets,,,246548.0
,,,,
,Unpaid losses,,,84004.0
,Unearned Premiums,,,23504.0
,Policy Benefits,,,24744.0
,Separate Accounts,,,6231.0
,Insurance payables,,,8121.0
,Lending Collateral,,,1445.0
,AP,,,10192.0
,DTL,,,1584.0
,Repurchase Agreements,,,2731.0
,Debt,,,15598.0
,SE,,,68394.0
,L+SE,,,246548.0
,,,,
,,,,
,CFFO,11258.0,12632.0,16182.0
