Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,>100k customers,,,,,,,,,,,1346,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cloud,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,
,Subscription,113.92,127.018,138.73,155.34099999999995,160.567,176.488,189.27,202.78699999999998,206.902,224.702,239.851,249.851,259.851,269.851,279.851,289.851,,,347.099,535.009,729.112,1099.404,1264.3146,1453.9617899999998,1599.357969,1759.2937659000002,1935.2231424900003,2128.7454567390005,,,,,
,Services,12.219,12.389,13.002,13.325000000000001,13.735,12.797,10.911,10.397000000000002,10.335,10.284,10.348,10.348,10.348,10.348,10.348,10.348,,,40.765,50.935,47.84,41.392,45.531200000000005,50.08432000000001,55.09275200000002,60.60202720000002,66.66222992000003,73.32845291200005,,,,,
,Revenue,126.139,139.407,151.732,168.66599999999994,174.30200000000002,189.285,200.181,213.18399999999997,217.237,234.986,250.199,260.199,270.199,280.199,290.199,300.199,,,387.864,585.944,776.952,1140.796,1309.8457999999998,1504.0461099999998,1654.450721,1819.8957931000002,2001.8853724100004,2202.0739096510006,,,,,
,COGS,45.777,49.509,53.18,53.948999999999984,58.144,57.92,56.549,57.05699999999998,61.221,64.981,63.703,65.04975,67.54975,70.04975,72.54975,75.04975,,,137.292,202.415,229.67,285.199,314.36299199999996,345.9306053,363.9791586199999,382.1781165509999,400.3770744819999,418.39404283369004,,,,,
,Gross Profit,80.362,89.89800000000001,98.55199999999999,114.71699999999996,116.15800000000002,131.365,143.632,156.12699999999998,156.016,170.005,186.496,195.14925,202.64925,210.14925,217.64925,225.14925,,,250.57199999999997,383.529,547.282,855.597,995.4828079999999,1158.1155046999997,1290.47156238,1437.7176765490003,1601.5082979280005,1783.6798668173105,,,,,
,R&D,57.661,64.472,70.099,71.80900000000003,84.89,85.677,91.237,86.94799999999996,97.571,106.06,102.72,95.64279999999997,107.3281,116.66600000000001,112.992,105.20707999999998,,,161.925,264.041,348.752,442.19318,446.61511179999997,451.081262918,455.59207554718,460.1479963026518,464.7494762656783,469.3969710283351,,,,,
,S&M,106.702,112.754,114.312,122.68399999999997,128.624,127.77,128.624,119.91099999999997,131.352,132.865,137.968,131.9021,144.48720000000003,146.15150000000003,151.7648,145.09231,,,319.331,456.452,504.929,587.4958100000001,616.8706005000001,647.7141305250002,680.0998370512502,714.1048289038127,749.8100703490035,787.3005738664536,,,,,
