Main,Unnamed: 1,Unnamed: 2
,Brand,CLS-AX
,Generic,axitinib
,Clinical Trials,
,,"Phase IIb ""ODYSSEY"" n=60 wet AMD 36 weeks - NCT05891548"
,,CLS-AX vs aflibercept (2:1)
,,PE: BCVA from baseline
,,
,,
,,"Phase I/II ""OASIS"""
,,"Results : Four dose-escalating cohorts (0.03 mg, n=6; 0.1 mg, n=5; 0.5 mg, n=8; 1.0 mg, n=8) were enrolled with a mean age 81 years, mean duration of nAMD diagnosis 54 months, and mean 29.9 prior anti-VEGF injections. In all cohorts, there were no serious adverse events, no treatment emergent adverse events related to study treatment, no dose limiting toxicities, and no adverse events related to inflammation, vasculitis or vascular occlusion. In cohorts 3 and 4, in OASIS to the 3-month timepoint (n=16), there was a 73% reduction in treatment burden, and in the ongoing Extension Study (interim data as of 10/27/22, n=12), there was a 90% reduction in treatment burden from the average monthly injections before CLS-AX. In cohorts 3 and 4 from the ongoing Extension Study, the injection free rate for supplemental aflibercept treatment was 88% up to month 5 (7/8 patients not receiving additional therapy) and 75% to month 6 (3/4 of patients not receiving additional therapy). Through 6 months, stable mean BCVA and anatomic signs of biological effect, including stable mean CST, were observed."
