Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2017-04-01 00:00:00,2018-03-31 00:00:00,2019-03-30 00:00:00,2020-03-28 00:00:00,2021-03-27 00:00:00,2022-04-02 00:00:00,2023-04-01 00:00:00,2024-03-30 00:00:00
,Stores,,,,,,,,,,,,,,,827,1011,1249,1271,1257,1271,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Versace,,,,,,,,,,,,,,,0,0,137,843,718,1088,1106,1030
,Jimmy Choo,,,,,,,,,,,,,,,0,223,590,555,418,613,633,618
,Michael Kors,,,,,,,,,,,,,,,4494,4496,4511,4153,2924,3953,3880,3522
,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,1229,,,,1067,,,,,4494,4719,5238,5551,4060,5654,5619,5170
,COGS,,,,,,417,,,,378,,,,,1833,1860,2058,2280,1463,1910,1895,1831
,Gross Profit,,,,,,812,,,,689,,,,,2661,2859,3180,3271,2597,3744,3724,3339
,SG&A,,,,,,689,,,,649,,,,,1541,1767,2075,2464,2018,2533,2708,2784
,Operating Income,,,,,,123,,,,40,,,,,1120,1092,1105,807,579,1211,1016,555
,Interest Income,,,,,,9,,,,4,,,,,4,22,38,18,43,-18,24,6
,Pretax Income,,,,,,132,,,,44,,,,,1116,1070,1067,789,536,1229,992,549
,Taxes,,,,,,2,,,,3,,,,,137,150,79,10,66,92,29,0
,Net Income,,,,,,130,,,,41,,,,,979,920,988,779,470,1137,963,549
,EPS,,,,,,1.0990624464709033,,,,0.34911360311617784,,,,,5.823089439447819,5.931546663364773,6.516533560312728,5.168709669384515,3.1238873643727745,7.455840033266817,7.1864341615170115,4.691729446678452
,Shares,,,,,,118.282633,,,,117.440282,,,,,168.123813,155.102885,151.61435,150.714598,150.453568,152.497907,134.00248,117.01442
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,40,,,,83,,,,,1035,1062,694,859,624,704,771,309
,CapEx,,,,,,-50,,,,-43,,,,,-165,-120,-181,-223,-111,-131,-226,-189
,FCF,,,,,,-10,,,,40,,,,,870,942,513,636,513,573,545,120
