Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0
,RMS,,,,,,209.948,,,,206.389,,,,,,,,,,,,,,,,739.175,792.343,,,,,
,DSA,,,,,,663.457,,,,627.419,,,,,,,,,,,,,,,,2447.316,2615.623,,,,,
,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,789.569,721.443,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Service,,,,,857.366,874.891,869.759,,816.862,842.9,832.463,,,,,,,,,1130.733,1298.298,1687.941,2029.371,2296.156,2755.579,3216.904,3440.019,,,,,
,Product,,,,,172.007,185.046,156.864,,194.698,183.217,177.3,,,,,,,,,550.699,559.303,578.155,591.855,627.777,784.581,759.156,689.39,,,,,
,Revenue,,,,,1029.373,1059.937,1026.623,,1011.56,1026.117,1009.7629999999999,0,0,0,0,0,,,,1681.4319999999998,1857.601,2266.096,2621.226,2923.933,3540.1600000000003,3976.06,4129.409,4049.989,,,,
,CoS,,,,,565.477,578.099,587.56,,578.164,577.383,568.699,,,,,,,,,760.439,867.014,1150.371,1371.699,1533.23,,,,,,,,
,CoP,,,,,86.242,82.861,77.223,,88.553,95.021,92.043,,,,,,,,,277.034,289.669,275.658,291.216,317.162,,,,,,,,
,COGS,,,,,651.7189999999999,660.96,664.7829999999999,,666.717,672.404,660.742,,,,,,,,,1037.473,1156.683,1426.029,1662.915,1850.392,2205.522,2513.409,2626.853,,,,,
,Gross Profit,,,,,377.6540000000001,398.97699999999986,361.84000000000015,,344.84299999999996,353.71299999999997,349.02099999999996,,,,,,,,,643.9589999999998,700.9180000000001,840.067,958.3110000000001,1073.541,1334.6380000000004,1462.6509999999998,1502.5559999999996,,,,,
,Operating Expenses,,,,,174.846,199.758,176.109,,186.291,169.791,199.213,,,,,,,,,364.708,371.266,443.854,517.622,528.935,619.919,665.098,747.855,,,,,
,Operating Income,,,,,202.8080000000001,199.21899999999985,185.73100000000014,,158.55199999999996,183.92199999999997,149.80799999999996,,,,,,,,,279.2509999999998,329.6520000000001,396.213,440.6890000000002,544.606,714.7190000000004,797.5529999999999,754.7009999999996,,,,,
,Interest Income,,,,,-36.851000000000006,-36.28099999999999,-32.369,,-26.967999999999996,-31.999000000000002,-26.164,,,,,,,,,-26.395,-29.087,-50.513999999999996,-59.36,-85.599,-109.15199999999999,-27.987999999999996,-35.977000000000004,,,,,
,Pretax Income,,,,,165.9570000000001,162.93799999999987,153.36200000000014,,131.58399999999997,151.92299999999997,123.64399999999996,,,,,,,,,252.8559999999998,300.5650000000001,345.699,381.3290000000002,459.007,605.5670000000005,769.5649999999999,718.7239999999996,,,,,
,Taxes,,,,,27.91,31.644,24.852,,26.051,25.572,20.946,,,,,,,,,66.835,171.369,54.463,50.023,81.808,89.72800000000001,136.761,106.66,,,,,
,Net Income,,,,,138.0470000000001,131.29399999999987,128.51000000000013,,105.53299999999997,126.35099999999997,102.69799999999996,,,,,,,,,186.0209999999998,129.1960000000001,291.236,331.30600000000015,377.199,515.8390000000004,632.804,612.0639999999996,,,,,
