Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0
,License,,,57,,66,71,69,81,69,72,79,100,,,,,,198.0,226.0,234.0,287.0,320.0,,,,,,,,,,,
,Services,,,187,,237,254,256,286,270,340,375,396,,,,,,616.0,673.0,751.0,1033.0,1381.0,,,,,,,,,,,
,Hardware,,,45,,39,43,45,49,47,50,54,82,,,,,,175.0,173.0,169.0,176.0,233.0,,,,,,,,,,,
,Maintenance,,,713,,834,880,929,968,1045,1156,1217,1270,,,,,,2072.0,2417.0,2815.0,3611.0,4688.0,,,,,,,,,,,
,Revenue,,,1002,,1176,1248,1299,1384,1431,1618,1725,1848,,,,,,3061.0,3489.0,3969.0,5107.0,6622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Staff,,,504,,641,665,676,713,783,873,925,958,,,,,,1565.0,1797.0,2050.0,2695.0,3539.0,,,,,,,,,,,
,Hardware,,,25,,22,23,25,29,27,29,31,47,,,,,,96.0,101.0,97.0,99.0,134.0,,,,,,,,,,,
,Licenses,,,82,,96,109,113,115,122,153,167,184,,,,,,265.0,300.0,330.0,433.0,626.0,,,,,,,,,,,
,Occupancy,,,9,,9,10,10,11,11,12,12,14,,,,,,78.0,35.0,35.0,40.0,49.0,,,,,,,,,,,
,"Travel, Telecom",,,32,,39,44,46,57,56,80,80,91,,,,,,181.0,201.0,152.0,186.0,307.0,,,,,,,,,,,
,Professional,,,15,,15,17,21,26,24,28,26,36,,,,,,39.0,49.0,60.0,79.0,114.0,,,,,,,,,,,
