Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Retail units sold,92457,107815,111949,113016,105185,117564,102570,86977,79240,76530,80987,76090,91878,101440,108651,114379,133898,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cars,,,,,,,,,,,,,,,,,,,,,,,,,,412296.0,312847.0,416348.0,,,,,,
,Site Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,15819.0,17248.0,,,,,,
,Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,33075.0,53360.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail vehicle,,,,,,,,,,1961,1949,1777,2175,2411,2543,2522,2980,,,,,1785.045,3420.601,4741.0,9851.0,10254.0,7514.0,9681.0,,,,,,
,Wholesale vehicle,,,,,,,,,,777,610,499,657,720,786,678,863,,,,,73.584,267.586,445.0,1920.0,2609.0,2504.0,2841.0,,,,,,
,Other sales,,,,,,,,,,230,214,148,229,279,326,317,389,,,,,96.838,251.709,401.0,1043.0,741.0,753.0,1151.0,,,,,,
,Revenue,,,,,,,,,,2968,2773,2424,3061,3410,3655,3517,4232,,,,,1955.467,3939.896,5587.0,12814.0,13604.0,10771.0,13673.0,,,,,,
,COGS,,,,,,,,,,2695,2291,2022,2470,2695,2848,2784,3303,,,,,1758.758,3433.482,4793.0,10885.0,12358.0,9047.0,10797.0,,,,,,
,Gross Profit,,,,,,,,,,273,482,402,591,715,807,733,929,,,,,196.70900000000006,506.4140000000002,794.0,1929.0,1246.0,1724.0,2876.0,,,,,,
,SG&A,,,,,,,,,,455,433,439,456,455,470,494,535,,,,,425.258,786.717,1126.0,2033.0,2736.0,1796.0,1874.0,,,,,,
,Operating Profit,,,,,,,,,,-182,49,-37,135,260,337,239,394,,,,,-228.54899999999992,-280.30299999999977,-332.0,-104.0,-1490.0,-72.0,1002.0,,,,,,
,Interest Expense,,,,,,,,,,-209,-153,-164,-86,-209,-157,-98,-17,,,,,-25.018,-80.606,-131.0,-176.0,-486.0,-632.0,-651.0,,,,,,
,Pretax Income,,,,,,,,,,-391,-104,-201,49,51,180,141,377,,,,,-253.56699999999992,-360.90899999999976,-463.0,-280.0,-1976.0,-704.0,351.0,,,,,,
,Taxes,,,,,,,,,,31,29,0,21,31,0,80,157,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
,Net Income,,,,,,,,,,-422,-133,-201,28,20,180,61,220,,,,,-253.56699999999992,-360.90899999999976,-463.0,-280.0,-1976.0,-704.0,351.0,,,,,,
,EPS,,,,,,,,,,-3.9728116586017963,-0.6457627283232503,-1.7614582420471474,0.13192674296429968,0.1556844276651228,1.3477593500804912,0.4361535546514704,1.5429176572899355,,,,,-8.440135805345669,-7.703993852327785,-7.125159662055063,-3.3814383189420925,-19.597730789066528,-3.509856514672596,2.654947581804154,,,,,,
,Shares,,,,,,,,,,106.222,205.958,114.11,212.239,128.465,133.555,139.859,142.587,,,,,30.043,46.847,64.981,82.805,100.828,200.578,132.206,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
