Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Ticker,Price,MC,NC,EV,SO,Update,Last,NPV
x,LVMH,MC FP,,,,,,,,
x,Nike,NKE,70.72,108199.59211776,1742,106457.59211776,1529.971608,Q224,2025-02-10 00:00:00,
x,Hermes,RMS FP,,,,,,,,
x,Christian Dior,CDI FP,,,,,,,,
x,Inditex,ITX SM,,,,,,,,
x,EssilorLuxottica,EL FP,,,,,,,,
x,Kering,KER FP,,,,,,,,
x,Fast Retailing,9983 JP,,,,,,,,
x,CIE Financiere Richemont,CFR SW,,,,,,,,
x,Lululemon,LULU,399.66,46600,,,,,,
x,Adidas,ADS GR,,,,,,,,
x,Titan Co,TTAN IN,,,,,,,,
x,Anta Sports,2020 HK,,,,,,,,
x,Deckers,DECK,,,,,,,,
x,H&M,HMB SS,,,,,,,,
x,Li Ning,2331 HK,,,,,,,,
,Crox,CROX,90.73,5085.97530607,-1168.8539999999998,6254.82930607,56.056159,Q424,2025-04-14 00:00:00,
,Capri,CPRI,22,,,,,,,
,Abercrombie,ANF,75.46,3801.12311194,738.879,3062.24411194,50.372689,Q424,2025-03-26 00:00:00,
