Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name,Ticker,Price,MC,NC,EV,S/O,Update,Last
x,Kweichou Moutai,600519 CH,,,,,,,
x,Nestle,NESN SW,,,,,,,
x,Coca-Cola,KO,,,,,,,
x,PepsiCo,PEP,148.46,203612.86594948,-35040,238652.86594948,1371.499838,Q424,2025-03-26 00:00:00
x,Anheuser-Busch,ABI BB,,,,,,,
x,Wuliangye Yibi,000858 CH,,,,,,,
x,Diageo,DGE LN,,,,,,,
x,Mondelez,MDLZ,,,,,,,
x,Foshan Haitian,603288 CH,,,,,,,
x,Heineken,HEIA NA,,,,,,,
x,Shanxi Xinghuacun Fen Wire,600809 CH,,,,,,,
x,Keurig Dr. Pepper,KDP,,,,,,,
x,Luzhou Laojiao,000568 CH,,,,,,,
x,Monster,MNST,46.71,45915.93,1883.2849999999999,44032.645000000004,983,Q324,2025-02-10 00:00:00
x,Muyuan Foods,002714 CH,,,,,,,
x,Pernod Ricard,RI FP,,,,,,,
x,Constellation Brands,STZ,179.76,,,,,,
x,Kraft Heinz,KHC,,,,,,,
x,Hershey,HSY,,,,,,,
x,General Mills,GIS,,,,,,,
x,Ambev,ABEV3 BZ,,,,,,,
x,Archer-Daniels,ADM,,,,,,,
x,Yihai Kerry,300999 CH,,,,,,,
x,Jiangsu Yanghe Brewery,002304 CH,,,,,,,
x,Budweiser Brewing APAC,1876 HK,,,,,,,
x,Danone,BN FP,,,,,,,
x,Brown-Forman,BF/B,,,,,,,
x,Givaudan,GIVN SW,,,,,,,
x,Tyson Foods,TSN,,,,,,,
x,International Flavor,IFF,,,,,,,
x,Hormel Foods,HRL,,,,,,,
x,Kellanova,K,,,,,,,
x,Fomento Economico Mexica,FEMSAUBD MM Equity,,,,,,,
x,Lindt & Sprungli,LISN SW,,,,,,,
x,Wens Foodstuff Group,300498 CH,,,,,,,
x,Nestle India,NEST IN,,,,,,,
x,Coca-Cola European Partners,CCEP,,,,,,,
x,McCormick,MKC,,,,,,,
,Celsius,CELH,22.56,5302.30955712,904,4398.30955712,235.031452,Q324,2024-02-10 00:00:00
,Oatly,OTLY,0.85,,,,,,
x,Nongfu Spring,9633 HK,,,,,,,
