Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Name,Total Raised,Stage,Amount,Date,Investors,Site,Notes,People,Prior,Amount,Date,Investors,Prior,Amount,Date,Amount
,Gensyn,50.6,Series A,43,2023-06-12 00:00:00,"a16z, Zee Prime, Protocol Labs, Peer Venture Partners, Maven 11, M31, Id4, Eden Block, CoinFund, Canonical Crypto, ",,,,Seed,6.5,2022-03-21 00:00:00,"Eden Block, Zee Prime, Peer Venture Partners, Maven 11, Matias Ventures, Jsquare, Hypersphere Ventures, Galaxy Digital, Entrepreneur First, Counterview Capital, CoinFund, 7percent Ventures",Pre-Seed,1.1,2021-01-01 00:00:00,"7percent Ventures, Paul Smith, Id4 Ventures, Entrepreneur First, Counterview Capital"
,Modulus Labs Inc,6.3,Seed,6.3,2023-11-01 00:00:00,"Variant, 1kx, Inflection.xyz, Global Coin Research, Floodgate, Blockchain Builders Fund, Bankless Ventures",,,,,,,,,,,
,Spectral Labs,,,,,,https://www.spectrallabs.xyz/,Pivoted hard from web3 credit risk,,,,,,,,,
,Nimble,,,,,,https://www.nimble.technology/,,,,,,,,,,
,io.net,,,,,,,,,,,,,,,,
,Prime Intellect,,,,,,https://www.primeintellect.ai,,Vincent Weisser,,,,,,,,
,Allora,,,,,,https://www.allora.network/,,Nick Emmons,,,,,,,,
,Wayfinder,,,,,,https://www.wayfinder.ai/,,Adrian Haldenby,,,,,,,,
,Hyperbolic,,,,,,https://www.hyperbolic.xyz/,,Jasper Zhang,,,,,,,,
,Vana,,Seed,,,"Paradigm, Box Group, Polychain, Abstract Ventures",https://www.vana.com,,,,,,,,,,
,OG Labs (ZeroGravity),35,Preseed,,,,,,,,,,,,,,
,Ritual,,,,,,,,,,,,,,,,
,gpt4all,,,,,,,,,,,,,,,,
,Ollama,,,,,,,,,,,,,,,,
,Edgellama,,,,,,,,,,,,,,,,
,Petals,,,,,,,,,,,,,,,,
,Fetch.ai,,,,,,,,,,,,,,,,
,AI Arena,,,,,,,,,,,,,,,,
,Pond,,,,,,,,,,,,,,,,
,MyShell,,,,,,,,,,,,,,,,
,Axiom,,,,,,,ZK coprocessor for ethereum,,,,,,,,,
,Operator.io,,,,,,,,,,,,,,,,
,Rainfall,,,,,,,,,,,,,,,,
,Accessor Labs,,,,,,,,,,,,,,,,
,Deva,,,,,,,,,,,,,,,,
,UpShot,,,,,,,,,,,,,,,,
,EZKL,,,,,,,,,,,,,,,,
,Bagel Network,,,,,,bagel.net,,,,,,,,,,
,Sentient,,,,,,sentient.foundation,,,,,,,,,,
,Sahara Labs,,Seed,6,2024-03-29 00:00:00,"Polychain, Sequoia, Matrix, Samsung Next, Dao5, GeekCartel, Nomad Capital, Canonical Crypto, Motherson, Dispersion Capital, Alumni Ventures, Tangent, Coho Deeptech",saharalabs.ai,,,,,,,,,,
,DAIN (@dainprotocol),,,,,,,,,,,,,,,,
,Inference Labs,2.3,,,,,inferencelabs.com,,,,,,,,,,
,Ora,,,,,,,,,,,,,,,,
,Giza,,,,,,,,,,,,,,,,
,FirstBatch,,,,,,,,,,,,,,,,
,Cortex Labs,,,,,,cortexlabs.ai,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Adjacent,,,,,,,,,,,,,,,,
,Nillion,,,,,,,,,,,,,,,,
