Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,arithmetisation,"translate computation/circuit into arithmetic relation, which allows the construction of a proof system",,
,Arthur-Merlin proofs,,,
,atoma network,,,
,bittensor,trash,,
,circuit,,,
,commit-reveal,workers submit hash of answer with random seed value,,
,CRS,common reference string. the string used later in the proving process,,
,differential privacy,,,
,EigenLayer,,,
,EZKL,Popular open-source repo: https://github.com/zkonduit/ezkl,,
,FHE,acronym for fully homomorphic encryption,,
,Fiat-Shamir transformation,,,
,finite automaton,"5-tuple Q (finite set of states), sigma (finite state of symbols), delta (transition function), Q_0 (start state), F (set of accept states)",,
,Gather AI,,,
,Gensyn,"Private company, still waiting for product",,
,Giza,Private Company? On Starknet,,
,Groth-Sahai proofs,,,
,groth16,,,
,Halo2,,,
,HE,acronym for homomorphic encryption,,
,interactive oracle proofs,,,
,knowledge-sound,"for any prover able to produce a valid proof, there is an extractor capable of extracting a witness (the knowledge) for the statement",,
,LIP,,,
,Modulus,Private company,,
,MPC,multiparty computing,,
,nil,(stylized as =nil;) zkRollup using zkSharding,,
,NIZK,,,
,non-interactive,reduces the number of prover-verifier interactions to one,,
,NP,nondeterministic polynomial time complexity class,,
,optimistic fraud proof,,,
,ora,,,
,PCP,,,
,PIOP,,,
,Placeholder,,,
,PLONK,,,
,plonky2,,,
,proof system,"in a proof system, a prover tries to prove to a verifier that a statement is true. Most proof systems take the crs, the statement and the witness, and output the proof.",,
,QAP,,,
,QDQ,,,
,Qoperator,,,
,R1CS,,,
,RISC Zero,,,
,Ritual,"early library, not useful",,
,ROM,,,
,SNARK,succinct non-interactive arguments of knowledge,,
,snarkJS,,,
,tachikoma,TVM fork,,
,TEE,trusted execution environment,,
,trace,,,
,TrueBit,,,
,TVM,https://tvm.apache.org/,,https://mlc.ai/chapter_gpu_acceleration/part1.html
,verification,"verifiers will run an algorithim on vrs, the statement, the proof and return the output 1 or 0",,
,verification key,"also known as vrs, sometimes secret to the verifier only",,
,verifier,often a deterministic Turing machine,,
,verifier's dilemma,,,
,witness,"the intermediate steps of the proofs, also known as a certificate",,
,ZEXE,,,
,zero-knowledge proof,"Goldwagger, Micali, Rackoff proof system where the proof does not reveal anything other than the truth of the statement. Generally only works over finite fields, not reals.",,
,zkLLVM,nil's compiler,,
,ZKML,Layer 1 - zkml.systems,,
,zkSNARK,,,
