Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Service,52.795,54.985,59.2,,65.562,71.651,83.4,
,Transaction,4.012,6.25,6.6,,8.068,8.466,9.1,
,Revenue,56.807,61.235,65.8,,73.63,80.11699999999999,92.5,
,Credit Losses + Processing,27.847,23.157,23.1,,17.666,22.159,22.299999999999997,
,Advertising,14.985,14.985,13.9,,9.097,10.743,12.5,
,Compensation,23.932,23.932,23.1,,24.552,24.515,30.7,
,Other,20.078,20.078,16.3,,16.916,17.031,24.4,
,Operating Expenses,86.842,82.152,76.4,,68.231,74.44800000000001,89.9,
,Operating Income,-30.034999999999997,-20.917,-10.600000000000009,,5.399000000000001,5.668999999999983,2.5999999999999943,
,Interest Expense,-1.542,-1.542,-1.7,,0.722,-1.428,-1.5,
,Pretax Income,-31.576999999999998,-22.459000000000003,-12.300000000000008,,6.121,4.240999999999983,1.0999999999999943,
,Taxes,0,0,0,,3.203,0,0.4,
,Net Income,-31.576999999999998,-22.459000000000003,-12.300000000000008,,2.9180000000000006,4.240999999999983,0.6999999999999943,
,EPS,-2.6569962336571424,-1.8897766859329819,,,0.22135378243775453,0.31313572236962917,,
,Shares,11.884473,11.884473,,,13.182517,13.543648,,
,,,,,,,,,
,,,,,,,,,
,CFFO,-6.929,9.654,,,18.344,28.046999999999997,,
