Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,,,,2019.0,2020.0,2021.0
,Medical Membership,,,,42925,,,,45374,,,,,,,,,41000.0,42925.0,45374.0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Premiums,,,,,27676,28533,30395,30769,32785,33076,33722,,,,,,,,
,Product,,,,,2737,3042,3353,3525,3301,3568,3972,,,,,,,,
,Fees+Investment,,,,,1972,2276,2074,2287,2009,1988,2245,,,,,,,,
,Revenue,,,,,32385,33851,35822,36581,38095,38632,39939,,,,,,,,
,COGS,,,,,26012,27377,26645,33506,31098,31846,32841,,,,,,,,
,Gross Profit,,,,,6373,6474,9177,3075,6997,6786,7098,,,,,,,,
,MLR,,,,,3977,3770,3750,,4570,4299,4318,,,,,,,,
,SG&A,,,,,3925,3821,3946,4222,4341,4269,4514,,,,,,,,
,Operating Income,,,,,2448,2653,5231,-1147,2656,2517,2584,,,,,,,,
,Interest Expense,,,,,-192,-205,-201,-200,-201,-208,-213,,,,,,,,
,Pretax Income,,,,,2256,2448,5030,-1347,2455,2309,2371,,,,,,,,
,Taxes,,,,,511,544,487,279,541,496,528,,,,,,,,
,Net Income,,,,,1745,1904,4543,-1626,1914,1813,1843,,,,,,,,
,EPS,,,,,,,,-6.725379422041407,7.93726725669204,7.552533525698403,7.712115910683471,,,,,,,,
,Shares,,,,,,,,241.770746,241.140929,240.051897,238.974624,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,42039,,,,,,,,
,Medical Receivables,,,,,,,,,,,10555,,,,,,,,
,Other Receivables,,,,,,,,,,,3651,,,,,,,,
,OCA,,,,,,,,,,,5496,,,,,,,,
,PP&E,,,,,,,,,,,4197,,,,,,,,
,Goodwill,,,,,,,,,,,34917,,,,,,,,
,ONCA,,,,,,,,,,,2171,,,,,,,,
,Assets,,,,,,,,,,,103026,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Claims,,,,,,,,,,,21549,,,,,,,,
,DR,,,,,,,,,,,3702,,,,,,,,
,AP,,,,,,,,,,,4963,,,,,,,,
,Debt,,,,,,,,,,,23772,,,,,,,,
,OCL,,,,,,,,,,,9384,,,,,,,,
,Tax,,,,,,,,,,,1825,,,,,,,,
,ONCL,,,,,,,,,,,1788,,,,,,,,
,SE,,,,,,,,,,,36043,,,,,,,,
,L+SE,,,,,,,,,,,103026,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,MLR,,,,,,,0.12337555518999835,,,,0.12804697230294762,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,1745,1904,4543,-1626,1914,1813,1843,,,,,,,,
,Reported NI,,,,,1667,1801,1502,1125,1795,1650,1613,,,,,,,,
,CFFO,,,,,2505,1683,2504,1672,2541,2452,4924,,,,,,6061.0,10688.0,8364.0
,CapEx,,,,,204,285,258,340,254,295,305,,,,,,,,
